# logged on Wed Nov 29 16:59:27 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701273567.325009000  1000.33 0 50.0061  -  nan  0.166993 0.231883 0.00150146  0.166993 0.231883 0.00150146  0.146651 -0.195672 9.69381  0.146651 -0.195672 9.69381  - - -  - - -  80.4754 84.7935 84.2322 78.9155 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.330006000  1000.32 0 50.0058  -  nan  0.136713 0.174278 0.00146685  0.136713 0.174278 0.00146685  0.234337 -0.249663 10.099  0.234337 -0.249663 10.099  - - -  - - -  80.7781 84.6754 84.3494 79.2656 - - - - 80.1667 85.955 - - - - - - 139 146 135 70 0 0 0 0
1701273567.334999000  1000.32 0 50.0077  -  nan  0.210353 0.245868 0.00397527  0.210353 0.245868 0.00397527  0.0531338 -0.198728 9.97907  0.0531338 -0.198728 9.97907  - - -  - - -  80.5472 84.8701 84.762 79.226 - - - - - - 83.2501 79.8977 - - - - 139 146 135 70 0 0 0 0
1701273567.340018000  1000.33 0 50.0077  -  nan  0.254276 0.217845 0.0215717  0.254276 0.217845 0.0215717  0.186625 -0.347874 9.99347  0.186625 -0.347874 9.99347  - - -  - - -  80.7318 84.8056 84.9171 79.7099 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.344998000  1000.33 0 50.0077  -  nan  0.254112 0.218388 0.0351387  0.254112 0.218388 0.0351387  0.141854 -0.298763 10.0453  0.141854 -0.298763 10.0453  - - -  - - -  80.598 84.7067 85.0746 80.3472 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.349996000  1000.33 0 50.0071  -  nan  0.313332 0.290043 0.0366575  0.313332 0.290043 0.0366575  0.144529 -0.246608 9.81245  0.144529 -0.246608 9.81245  - - -  - - -  80.3858 84.9202 85.3311 80.5861 - - - - 80.4376 83.5422 - - - - - - 139 146 135 70 0 0 0 0
1701273567.355014000  1000.33 0 50.0069  -  nan  0.327506 0.231695 0.0260954  0.327506 0.231695 0.0260954  0.271559 -0.451171 10.4597  0.271559 -0.451171 10.4597  - - -  - - -  80.7508 84.7577 85.2802 81.3066 - - - - - - 85.3388 80.1667 - - - - 139 146 135 70 0 0 0 0
1701273567.360006000  1000.33 0 50.0069  -  nan  0.356793 0.31821 0.0386363  0.356793 0.31821 0.0386363  0.0488896 -0.300599 10.2163  0.0488896 -0.300599 10.2163  - - -  - - -  80.6234 84.5728 85.5602 81.7341 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.365009000  1000.33 0 50.0082  -  nan  0.415628 0.288495 0.0165214  0.415628 0.288495 0.0165214  0.27258 -0.402665 10.5684  0.27258 -0.402665 10.5684  - - -  - - -  80.9515 84.5803 85.5038 82.0949 - - - - 80.9848 - - - - - - - 139 146 135 70 0 0 0 0
1701273567.369985000  1000.33 0 50.0064  -  nan  0.371339 0.288696 0.0134819  0.371339 0.288696 0.0134819  0.140838 -0.347258 9.93555  0.140838 -0.347258 9.93555  - - -  - - -  80.8679 84.2938 85.7397 82.4939 - - - - - 82.96 - - - - - - 139 146 135 70 0 0 0 0
1701273567.375014000  1000.33 0 50.0064  -  nan  0.444979 0.360286 0.0159903  0.444979 0.360286 0.0159903  0.096525 -0.250883 10.2122  0.096525 -0.250883 10.2122  - - -  - - -  81.1021 84.3724 85.9146 82.6678 - - - - - - 84.1326 80.7103 - - - - 139 146 135 70 0 0 0 0
1701273567.380006000  1000.33 0 50.0064  -  nan  0.415583 0.258576 0.00397969  0.415583 0.258576 0.00397969  0.318458 -0.449335 10.2882  0.318458 -0.449335 10.2882  - - -  - - -  81.4112 84.0506 85.9398 83.1338 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.385014000  1000.33 0 50.0067  -  nan  0.416076 0.375142 0.0270831  0.416076 0.375142 0.0270831  0.097267 -0.202993 10.3785  0.097267 -0.202993 10.3785  - - -  - - -  81.1342 83.8573 86.4063 83.3457 - - - - 80.4376 - - - - - - - 139 146 135 70 0 0 0 0
