# logged on Fri Dec  1 17:22:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447720.798530000  1000.88 0 50.0014  -  nan  -0.416767 0.436669 -0.0321166  -0.416767 0.436669 -0.0321166  0.0693044 0.158837 8.86385  0.0693044 0.158837 8.86385  - - -  - - -  73.2943 66.0848 70.1264 69.3108 - - - - - - - 70.028 - - - - 139 146 0 70 0 0 0 0
1701447720.803567000  1000.88 0 50.002  -  nan  -0.402037 0.3353 -0.0275208  -0.402037 0.3353 -0.0275208  0.154163 0.189041 10.6858  0.154163 0.189041 10.6858  - - -  - - -  73.5255 65.6874 70.1656 69.3732 - - - - - 65.2316 71.5001 - - - - - 139 146 0 70 0 0 0 0
1701447720.808526000  1000.88 0 50.0018  -  nan  -0.474736 0.466922 0.00363602  -0.474736 0.466922 0.00363602  0.0741913 0.215873 8.17436  0.0741913 0.215873 8.17436  - - -  - - -  72.694 65.1438 70.556 69.3472 - - - - 73.2601 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.813525000  1000.88 0 50.0018  -  nan  -0.460317 0.466856 0.00462562  -0.460317 0.466856 0.00462562  0.114355 0.110342 8.75448  0.114355 0.110342 8.75448  - - -  - - -  73.2588 65.9213 69.9329 69.4586 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447720.818541000  1000.89 0 50.0006  -  nan  -0.446143 0.408508 -0.00593651  -0.446143 0.408508 -0.00593651  0.199402 0.187216 10.8569  0.199402 0.187216 10.8569  - - -  - - -  73.3345 65.9788 69.7999 69.8728 - - - - - - - 68.6153 - - - - 139 146 0 70 0 0 0 0
1701447720.823564000  1000.88 0 50.0015  -  nan  -0.504158 0.553704 0.0121479  -0.504158 0.553704 0.0121479  0.0734541 0.167993 8.00707  0.0734541 0.167993 8.00707  - - -  - - -  72.819 65.8143 69.6938 69.7671 - - - - - 65.4108 70.028 - - - - - 139 146 0 70 0 0 0 0
1701447720.828523000  1000.89 0 50.0004  -  nan  -0.431515 0.437819 -0.00597223  -0.431515 0.437819 -0.00597223  0.113164 0.153967 9.31988  0.113164 0.153967 9.31988  - - -  - - -  73.6738 66.4386 69.2264 70.0307 - - - - 74.173 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.833543000  1000.88 0 50.0004  -  nan  -0.474736 0.466922 0.00363602  -0.474736 0.466922 0.00363602  0.153147 0.140546 10.5761  0.153147 0.140546 10.5761  - - -  - - -  72.9728 65.6257 69.8447 70.3706 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447720.838530000  1000.89 0 50.0003  -  nan  -0.503785 0.582538 -0.00244439  -0.503785 0.582538 -0.00244439  0.026003 0.164937 8.29266  0.026003 0.164937 8.29266  - - -  - - -  72.9201 65.7739 69.4951 70.2389 - - - - - - - 70.028 - - - - 139 146 0 70 0 0 0 0
1701447720.843547000  1000.88 0 50.0012  -  nan  -0.445607 0.4368 -0.0340958  -0.445607 0.4368 -0.0340958  0.15914 0.200022 9.65827  0.15914 0.200022 9.65827  - - -  - - -  73.6073 65.8846 69.3978 70.5647 - - - - - 65.591 70.2346 - - - - - 139 146 0 70 0 0 0 0
1701447720.848542000  1000.89 0 50.0011  -  nan  -0.53308 0.49501 -0.01495  -0.53308 0.49501 -0.01495  0.103853 0.0871698 10.9228  0.103853 0.0871698 10.9228  - - -  - - -  72.6788 65.3154 70.1725 70.3282 - - - - 73.4862 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.853548000  1000.88 0 50.0011  -  nan  -0.473588 0.581318 -0.0275285  -0.473588 0.581318 -0.0275285  0.0748341 0.171038 7.72213  0.0748341 0.171038 7.72213  - - -  - - -  72.8325 65.635 69.896 70.1776 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447720.858550000  1000.89 0 49.9999  -  nan  -0.504114 0.465431 -0.0391148  -0.504114 0.465431 -0.0391148  0.110583 0.194526 10.1722  0.110583 0.194526 10.1722  - - -  - - -  73.5713 65.461 69.8497 70.8497 - - - - - - - 70.6514 - - - - 139 146 0 70 0 0 0 0
1701447720.863534000  1000.88 0 50.0028  -  nan  -0.562841 0.510341 -0.0175302  -0.562841 0.510341 -0.0175302  0.107081 0.140546 10.5758  0.107081 0.140546 10.5758  - - -  - - -  72.8925 65.0882 70.4292 70.8817 - - - - - 66.507 69.2137 - - - - - 139 146 0 70 0 0 0 0
