# logged on Wed Nov 29 17:20:55 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701274855.529167000  1001.14 0 100.007  -  nan  0.253929 0.145381 0.0105149  0.253929 0.145381 0.0105149  0.237844 -0.195672 9.69448  0.237844 -0.195672 9.69448  - - -  - - -  81.8778 85.9834 87.1881 79.647 - - - - 82.3859 85.3388 86.5801 79.1014 - - - - 138 146 134 71 0 0 0 0
1701274855.534171000  1001.14 0 100.007  -  nan  0.21029 0.260592 0.0170473  0.21029 0.260592 0.0170473  0.185088 -0.396575 9.99785  0.185088 -0.396575 9.99785  - - -  - - -  82.0792 85.8034 87.3649 80.2199 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.539174000  1001.14 0 100.008  -  nan  0.269092 0.200919 -0.0185784  0.269092 0.200919 -0.0185784  0.322854 -0.301819 10.3325  0.322854 -0.301819 10.3325  - - -  - - -  82.8613 85.9399 86.8367 80.3033 - - - - 81.5395 85.3388 87.2144 80.4376 - - - - 138 146 134 71 0 0 0 0
1701274855.544149000  1001.14 0 100.008  -  nan  0.283847 0.273357 -0.00556302  0.283847 0.273357 -0.00556302  0.278173 -0.298763 10.0463  0.278173 -0.298763 10.0463  - - -  - - -  82.7853 85.6868 87.2832 80.5162 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.549168000  1001.14 0 100.01  -  nan  0.269636 0.302799 -0.00757793  0.269636 0.302799 -0.00757793  0.277984 -0.345434 9.76579  0.277984 -0.345434 9.76579  - - -  - - -  83.3051 85.6598 87.1622 80.6959 - - - - 82.96 85.034 87.858 80.4376 - - - - 138 146 134 71 0 0 0 0
1701274855.554161000  1001.14 0 100.012  -  nan  0.342631 0.258327 -0.015575  0.342631 0.258327 -0.015575  0.277804 -0.253324 10.4419  0.277804 -0.253324 10.4419  - - -  - - -  83.8785 85.658 87.0165 80.9925 - - - - - 85.3388 - - - - - - 138 146 134 71 0 0 0 0
1701274855.559165000  1001.13 0 100.01  -  nan  0.26961 0.34643 0.0180711  0.26961 0.34643 0.0180711  0.274788 -0.397795 10.1127  0.274788 -0.397795 10.1127  - - -  - - -  83.7692 85.3456 87.3787 81.2874 - - - - 82.96 - 87.2144 80.7103 - - - - 138 146 134 71 0 0 0 0
1701274855.564156000  1001.13 0 100.01  -  nan  0.3426 0.303009 0.0110077  0.3426 0.303009 0.0110077  0.324976 -0.250883 10.2139  0.324976 -0.250883 10.2139  - - -  - - -  84.1535 85.789 87.1014 81.2974 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.569155000  1001.12 0 100.011  -  nan  0.313963 0.331504 0.00803858  0.313963 0.331504 0.00803858  0.228712 -0.354579 10.6213  0.228712 -0.354579 10.6213  - - -  - - -  84.0075 85.8328 87.339 81.6702 - - - - - 84.7314 85.6458 80.4376 - - - - 138 146 134 71 0 0 0 0
1701274855.574161000  1001.12 0 100.007  -  nan  0.328546 0.330896 -0.00453882  0.328546 0.330896 -0.00453882  0.279742 -0.249048 10.0418  0.279742 -0.249048 10.0418  - - -  - - -  84.0256 85.9347 87.3904 81.6248 - - - - 84.7314 - - - - - - - 138 146 134 71 0 0 0 0
1701274855.579160000  1001.12 0 100.008  -  nan  0.37188 0.315937 -0.0156111  0.37188 0.315937 -0.0156111  0.275687 -0.304248 10.5595  0.275687 -0.304248 10.5595  - - -  - - -  84.2649 86.0956 87.653 81.6068 - - - - - 84.7314 87.858 81.5395 - - - - 138 146 134 71 0 0 0 0
1701274855.584155000  1001.12 0 100.004  -  nan  0.328957 0.388637 -0.00655409  0.328957 0.388637 -0.00655409  0.184966 -0.351534 10.336  0.184966 -0.351534 10.336  - - -  - - -  84.4002 85.8428 87.8116 81.7771 - - - - 83.5422 - - - - - - - 138 146 134 71 0 0 0 0
1701274855.589156000  1001.12 0 100.005  -  nan  0.371981 0.330119 -0.0161061  0.371981 0.330119 -0.0161061  0.275871 -0.257589 10.841  0.275871 -0.257589 10.841  - - -  - - -  84.6594 86.2639 87.8786 81.5508 - - - - - 86.2664 87.535 81.5395 - - - - 138 146 134 71 0 0 0 0
1701274855.594156000  1001.12 0 100.003  -  nan  0.343376 0.388571 -0.00556449  0.343376 0.388571 -0.00556449  0.230282 -0.304864 10.6168  0.230282 -0.304864 10.6168  - - -  - - -  84.6045 86.1064 87.8983 81.8718 - - - - 83.8364 - - - - - - - 138 146 134 71 0 0 0 0
1701274855.599164000  1001.12 0 100.003  -  nan  0.387665 0.38837 -0.00252502  0.387665 0.38837 -0.00252502  0.28288 -0.149617 10.0329  0.28288 -0.149617 10.0329  - - -  - - -  84.942 86.3507 87.6583 81.8305 - - - - 85.034 86.2664 87.858 80.9848 - - - - 138 146 134 71 0 0 0 0
1701274855.604157000  1001.12 0 100.005  -  nan  0.357594 0.360142 -0.00358494  0.357594 0.360142 -0.00358494  0.274855 -0.306084 10.7313  0.274855 -0.306084 10.7313  - - -  - - -  85.2321 86.2766 87.8801 82.1145 - - - - - 85.3388 - - - - - - 138 146 134 71 0 0 0 0
1701274855.609151000  1001.12 0 100.003  -  nan  0.357998 0.416869 -0.00556485  0.357998 0.416869 -0.00556485  0.23213 -0.254533 10.5547  0.23213 -0.254533 10.5547  - - -  - - -  85.2706 86.5324 87.933 81.8948 - - - - 84.1326 - 86.2664 80.4376 - - - - 138 146 134 71 0 0 0 0
1701274855.614162000  1001.12 0 100.006  -  nan  0.445318 0.359163 -0.0121127  0.445318 0.359163 -0.0121127  0.277993 -0.206653 10.7224  0.277993 -0.206653 10.7224  - - -  - - -  85.5897 86.497 87.7172 82.1381 - - - - - 86.5801 - - - - - - 138 146 134 71 0 0 0 0
