# logged on Tue Jan  2 11:52:21 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704192741.248716000  1001.38 0 49.9974  -  nan  -0.111643 -0.0115309 -0.0225592  -0.111643 -0.0115309 -0.0225592  -0.159799 0.298233 9.76116  -0.159799 0.298233 9.76116  - - -  - - -  81.2854 67.9791 73.1171 64.4444 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.253609000  1001.38 0 49.9979  -  nan  -0.127812 0.00543276 0.0437205  -0.127812 0.00543276 0.0437205  -0.442383 0.053316 9.43895  -0.442383 0.053316 9.43895  - - -  - - -  81.7688 67.9634 72.8375 64.3173 - - - - - 67.2585 - 63.6618 - - - - 138 145 0 71 0 0 0 0
1704192741.258609000  1001.38 0 49.9979  -  nan  0.00324101 -0.127646 -0.0387503  0.00324101 -0.127646 -0.0387503  0.109567 0.146031 10.0625  0.109567 0.146031 10.0625  - - -  - - -  81.0614 67.7959 72.761 65.2131 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.263613000  1001.37 0 49.9953  -  nan  -0.126846 0.046822 -0.0120678  -0.126846 0.046822 -0.0120678  -0.0175007 0.400914 9.35422  -0.0175007 0.400914 9.35422  - - -  - - -  81.3359 66.664 73.4935 65.45 - - - - 82.3859 - 73.2601 - - - - - 138 145 0 71 0 0 0 0
1704192741.268651000  1001.37 0 49.9953  -  nan  -0.0696698 -0.0510192 0.0632965  -0.0696698 -0.0510192 0.0632965  -0.273272 -0.255753 10.6652  -0.273272 -0.255753 10.6652  - - -  - - -  81.7996 68.5928 71.3408 65.6952 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.273607000  1001.36 0 49.9981  -  nan  0.121427 -0.116206 -0.0864242  0.121427 -0.116206 -0.0864242  0.157755 0.196966 9.9442  0.157755 0.196966 9.9442  - - -  - - -  81.1714 67.4152 71.8108 66.547 - - - - - 68.4182 - 66.1376 - - - - 138 145 0 71 0 0 0 0
1704192741.278609000  1001.36 0 49.9981  -  nan  -0.185408 0.137095 0.104076  -0.185408 0.137095 0.104076  -0.301136 0.198802 9.76908  -0.301136 0.198802 9.76908  - - -  - - -  82.4879 66.8734 71.9084 66.1694 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.283598000  1001.36 0 49.9956  -  nan  -0.0405025 -0.0522349 0.0381417  -0.0405025 -0.0522349 0.0381417  -0.270602 -0.203608 10.4334  -0.270602 -0.203608 10.4334  - - -  - - -  82.406 68.7003 70.1917 66.4201 - - - - 82.1018 - 73.2601 - - - - - 138 145 0 71 0 0 0 0
1704192741.288657000  1001.37 0 49.9956  -  nan  0.00503158 0.0281719 -0.0995028  0.00503158 0.0281719 -0.0995028  0.0256485 0.349168 9.64386  0.0256485 0.349168 9.64386  - - -  - - -  82.4989 65.155 72.7064 66.9922 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.293610000  1001.37 0 50.0003  -  nan  -0.200291 0.120775 0.0482737  -0.200291 0.120775 0.0482737  -0.164596 0.195141 10.1126  -0.164596 0.195141 10.1126  - - -  - - -  83.5074 65.2526 72.237 66.5142 - - - - - 68.2221 - 68.4182 - - - - 138 145 0 71 0 0 0 0
1704192741.298615000  1001.38 0 50.0003  -  nan  -0.024155 -0.0441616 -0.112539  -0.024155 -0.0441616 -0.112539  -0.122774 0.0932704 10.3502  -0.122774 0.0932704 10.3502  - - -  - - -  83.0596 66.3042 71.4081 66.4637 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.303610000  1001.38 0 49.9993  -  nan  -0.0958806 0.0575755 -0.0928839  -0.0958806 0.0575755 -0.0928839  -0.119271 0.147251 9.94665  -0.119271 0.147251 9.94665  - - -  - - -  83.4887 64.8927 72.5625 66.2548 - - - - 83.5422 - 72.1501 - - - - - 138 145 0 71 0 0 0 0
1704192741.308657000  1001.38 0 49.9993  -  nan  -0.141959 0.0201508 0.0286336  -0.141959 0.0201508 0.0286336  -0.0743202 0.239372 10.6221  -0.0743202 0.239372 10.6221  - - -  - - -  83.5634 66.4812 71.2673 65.5636 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.313609000  1001.38 0 50.0031  -  nan  -0.169967 0.0175315 -0.0421497  -0.169967 0.0175315 -0.0421497  -0.254427 0.153967 9.3172  -0.254427 0.153967 9.3172  - - -  - - -  83.3051 66.8418 70.999 65.6766 - - - - - 65.7722 - 66.6933 - - - - 138 145 0 71 0 0 0 0
1704192741.318611000  1001.38 0 50.0031  -  nan  -0.200814 -0.0236833 0.0125578  -0.200814 -0.0236833 0.0125578  0.0575124 0.086565 10.979  0.0575124 0.086565 10.979  - - -  - - -  83.2392 66.9603 71.2719 65.417 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.323610000  1001.38 0 49.9998  -  nan  -0.214704 0.00366135 -0.0165557  -0.214704 0.00366135 -0.0165557  -0.0199866 0.395429 9.8675  -0.0199866 0.395429 9.8675  - - -  - - -  82.9769 67.0435 71.0383 65.3079 - - - - 84.7314 - 70.6514 - - - - - 138 145 0 71 0 0 0 0
1704192741.328708000  1001.38 0 49.9998  -  nan  -0.244546 -0.0665029 0.0246763  -0.244546 -0.0665029 0.0246763  -0.353847 0.0453799 10.1822  -0.353847 0.0453799 10.1822  - - -  - - -  82.9413 68.6585 70.5162 64.7015 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.333604000  1001.38 0 50.0036  -  nan  -0.200758 -0.111995 -0.039674  -0.200758 -0.111995 -0.039674  0.0128262 0.08961 10.6937  0.0128262 0.08961 10.6937  - - -  - - -  82.2611 68.2877 71.2321 65.0385 - - - - - 65.2316 - 66.1376 - - - - 138 145 0 71 0 0 0 0
