# logged on Tue Nov 14 13:51:32 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966293.057062000  1000.9 0 50.0002  -  nan  0.075683 -0.0385476 -0.0287382  0.075683 -0.0385476 -0.0287382  0.106833 -0.0482553 10.1803  0.106833 -0.0482553 10.1803  - - -  - - -  74.3267 71.7887 67.3801 66.676 - - - - - 70.4424 - - - - - - 138 146 134 70 0 0 0 0
1699966293.062078000  1000.91 0 50.0002  -  nan  0.0325863 0.0457821 0.0106581  0.0325863 0.0457821 0.0106581  -0.0373929 0.0899334 10.2235  -0.0373929 0.0899334 10.2235  - - -  - - -  73.737 71.978 67.7494 66.3958 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966293.067062000  1000.91 0 50.0003  -  nan  0.0752447 -0.010498 -0.00098953  0.0752447 -0.010498 -0.00098953  -0.0833433 0.00161395 9.42838  -0.0833433 0.00161395 9.42838  - - -  - - -  73.8947 72.3151 67.2166 66.0702 - - - - 73.9426 - 66.8807 66.8807 - - - - 138 146 134 70 0 0 0 0
1699966293.072078000  1000.91 0 50.0003  -  nan  0.0754771 -0.0519966 0.000132739  0.0754771 -0.0519966 0.000132739  0.0129453 0.000423674 9.71639  0.0129453 0.000423674 9.71639  - - -  - - -  73.6652 72.2433 67.563 66.3143 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966293.077063000  1000.92 0 49.9992  -  nan  -0.0245386 0.0178114 0.0106104  -0.0245386 0.0178114 0.0106104  0.0117481 0.044821 10.0564  0.0117481 0.044821 10.0564  - - -  - - -  73.2477 72.2979 67.8818 66.4497 - - - - - 70.8617 - - - - - - 138 146 134 70 0 0 0 0
1699966293.082072000  1000.92 0 49.9992  -  nan  0.0753222 -0.0243309 -0.00061544  0.0753222 -0.0243309 -0.00061544  -0.0841478 0.0913592 9.87893  -0.0841478 0.0913592 9.87893  - - -  - - -  73.3345 73.0412 67.4221 65.7914 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966293.087073000  1000.91 0 49.9966  -  nan  0.0614914 -0.0668925 0.000338076  0.0614914 -0.0668925 0.000338076  0.015731 0.00208923 9.31436  0.015731 0.00208923 9.31436  - - -  - - -  73.1768 72.4803 67.7866 66.1878 - - - - - - 67.2585 66.1376 - - - - 138 146 134 70 0 0 0 0
1699966293.092070000  1000.92 0 49.9969  -  nan  -0.0103094 -0.0107675 0.0115808  -0.0103094 -0.0107675 0.0115808  -0.0365966 0.0452963 9.94132  -0.0365966 0.0452963 9.94132  - - -  - - -  72.9553 72.6081 68.2331 66.1986 - - - - 74.173 - - - - - - - 138 146 134 70 0 0 0 0
1699966293.097068000  1000.93 0 49.9952  -  nan  0.0754771 -0.0519966 0.000132739  0.0754771 -0.0519966 0.000132739  -0.0365966 0.0452963 9.94132  -0.0365966 0.0452963 9.94132  - - -  - - -  72.9199 73.0561 67.8041 65.894 - - - - - 73.9426 - - - - - - 138 146 134 70 0 0 0 0
1699966293.102072000  1000.93 0 49.9952  -  nan  0.0755601 -0.0668176 0.00053355  0.0755601 -0.0668176 0.00053355  0.0165259 0.00256451 9.19963  0.0165259 0.00256451 9.19963  - - -  - - -  72.6448 72.584 68.2445 66.2372 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966293.107110000  1000.93 0 49.9931  -  nan  -0.0100951 -0.0247856 -0.00180224  -0.0100951 -0.0247856 -0.00180224  0.00974915 -0.0475403 10.007  0.00974915 -0.0475403 10.007  - - -  - - -  72.7376 72.4777 68.4741 66.6002 - - - - - - 66.3218 66.507 - - - - 138 146 134 70 0 0 0 0
1699966293.112068000  1000.93 0 49.9948  -  nan  0.104679 -0.0381939 -0.0135936  0.104679 -0.0381939 -0.0135936  -0.0809517 0.139323 9.58835  -0.0809517 0.139323 9.58835  - - -  - - -  72.7795 72.6731 68.16 66.2095 - - - - 73.4862 - - - - - - - 138 146 134 70 0 0 0 0
1699966293.117068000  1000.93 0 49.9943  -  nan  0.118533 -0.0241009 -1.5057e-05  0.118533 -0.0241009 -1.5057e-05  0.0660431 -0.0432628 8.97479  0.0660431 -0.0432628 8.97479  - - -  - - -  72.9302 71.9538 68.3352 66.8599 - - - - - 73.0353 - - - - - - 138 146 134 70 0 0 0 0
