# logged on Mon Jan  8 17:14:43 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704730483.897533000  1001.08 0 50.0051  -  nan  -0.199508 0.0891576 -0.0321384  -0.199508 0.0891576 -0.0321384  0.16605 0.215268 8.23162  0.16605 0.215268 8.23162  - - -  - - -  76.1664 66.6386 70.7564 62.7019 - - - - - - 69.6185 - - - - - 139 0 134 70 0 0 0 0
1704730483.902528000  1001.07 0 50.0026  -  nan  -0.15972 -0.115958 0.224541  -0.15972 -0.115958 0.224541  -0.591406 -0.0179518 11.554  -0.591406 -0.0179518 11.554  - - -  - - -  77.2889 68.5487 69.0531 62.8094 - - - - - - - 61.8429 - - - - 139 0 134 70 0 0 0 0
1704730483.907533000  1001.06 0 50.0043  -  nan  0.0049416 -0.104241 -0.163781  0.0049416 -0.104241 -0.163781  0.202432 0.0551409 9.2729  0.202432 0.0551409 9.2729  - - -  - - -  74.2717 69.35 68.6366 64.1636 - - - - - 67.2585 - - - - - - 139 0 134 70 0 0 0 0
1704730483.912535000  1001.05 0 50.0039  -  nan  -0.141777 -0.0250347 -0.0105471  -0.141777 -0.0250347 -0.0105471  0.065065 0.0569764 9.10013  0.065065 0.0569764 9.10013  - - -  - - -  76.1563 66.7722 70.4511 63.335 - - - - 77.5555 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.917540000  1001.04 0 50.0055  -  nan  -0.114436 -0.119452 0.145209  -0.114436 -0.119452 0.145209  -0.352831 0.0938752 10.2919  -0.352831 0.0938752 10.2919  - - -  - - -  76.5392 67.6777 69.9882 63.4354 - - - - - - 71.286 - - - - - 139 0 134 70 0 0 0 0
1704730483.922540000  1001.03 0 50.0039  -  nan  -0.0101833 -0.130874 -0.122111  -0.0101833 -0.130874 -0.122111  -0.173727 0.0362342 11.0394  -0.173727 0.0362342 11.0394  - - -  - - -  74.7913 68.4249 69.6744 64.4998 - - - - - - - 63.1552 - - - - 139 0 134 70 0 0 0 0
1704730483.927538000  1001.02 0 50.0045  -  nan  -0.0978983 -0.0829764 -0.00549237  -0.0978983 -0.0829764 -0.00549237  0.156762 0.0107052 8.87783  0.156762 0.0107052 8.87783  - - -  - - -  75.8377 65.9266 71.1565 63.6131 - - - - - 67.4491 - - - - - - 139 0 134 70 0 0 0 0
1704730483.932534000  1001.01 0 50.0051  -  nan  -0.128815 -0.0648626 0.0869317  -0.128815 -0.0648626 0.0869317  -0.257933 0.0999758 9.72176  -0.257933 0.0999758 9.72176  - - -  - - -  76.2397 66.3579 71.134 63.9934 - - - - 76.0688 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.937535000  1001 0 50.0056  -  nan  -0.0401821 -0.126908 -0.0281521  -0.0401821 -0.126908 -0.0281521  -0.40903 0.0252637 12.0642  -0.40903 0.0252637 12.0642  - - -  - - -  75.5899 67.4241 70.4343 64.4563 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
1704730483.942526000  1000.99 0 50.003  -  nan  -0.082811 -0.08525 -0.0597398  -0.082811 -0.08525 -0.0597398  0.336593 -0.0864908 8.77383  0.336593 -0.0864908 8.77383  - - -  - - -  75.1241 65.3057 71.406 63.6536 - - - - - - - 63.6618 - - - - 139 0 134 70 0 0 0 0
