# logged on Wed Nov  8 13:33:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699446783.495551000  1000.54 0 50.0033  -  nan  0.16195 -0.0104218 -0.0282856  0.16195 -0.0104218 -0.0282856  0.00539702 -0.00408944 10.8058  0.00539702 -0.00408944 10.8058  - - -  - - -  70.6908 68.6978 68.9454 68.2913 - - - - - - - 68.0272 - - - - 138 146 134 70 0 0 0 0
1699446783.500547000  1000.55 0 50.0019  -  nan  0.0740124 0.185324 0.00747689  0.0740124 0.185324 0.00747689  0.0684443 0.00422593 8.79894  0.0684443 0.00422593 8.79894  - - -  - - -  71.1116 68.7095 68.4029 67.9536 - - - - - - 68.8137 - - - - - 138 146 134 70 0 0 0 0
1699446783.505556000  1000.54 0 50.0016  -  nan  0.132894 -0.051877 -0.0128285  0.132894 -0.051877 -0.0128285  0.151564 -0.142997 10.4755  0.151564 -0.142997 10.4755  - - -  - - -  72.1383 69.3485 67.6533 67.9559 - - - - 70.6514 69.0131 - - - - - - 138 146 134 70 0 0 0 0
1699446783.510549000  1000.54 0 50.0024  -  nan  0.132739 -0.0242113 -0.0135767  0.132739 -0.0242113 -0.0135767  0.101292 -0.00551529 11.1507  0.101292 -0.00551529 11.1507  - - -  - - -  71.3134 68.9405 68.4907 67.9437 - - - - - - - 66.8807 - - - - 138 146 134 70 0 0 0 0
1699446783.515543000  1000.54 0 50.0024  -  nan  0.0318243 0.157618 0.0213958  0.0318243 0.157618 0.0213958  0.0185097 0.00375065 8.91332  0.0185097 0.00375065 8.91332  - - -  - - -  71.4038 68.9488 68.1517 67.9225 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699446783.520544000  1000.54 0 50.0022  -  nan  0.0905508 -0.0519164 0.000342175  0.0905508 -0.0519164 0.000342175  0.154783 -0.0489662 10.3522  0.154783 -0.0489662 10.3522  - - -  - - -  72.0991 70.0042 67.4366 67.798 - - - - - - 68.2221 - - - - - 138 146 134 70 0 0 0 0
1699446783.525551000  1000.54 0 49.9999  -  nan  0.0326638 0.0319492 0.0110322  0.0326638 0.0319492 0.0110322  -0.0869252 0.0445855 10.1126  -0.0869252 0.0445855 10.1126  - - -  - - -  70.8996 69.6119 68.3724 67.8589 - - - - 72.1501 68.6153 - - - - - - 138 146 134 70 0 0 0 0
1699446783.530544000  1000.55 0 49.9999  -  nan  -0.0252951 0.12866 0.0213748  -0.0252951 0.12866 0.0213748  -0.0302359 0.00398622 8.8561  -0.0302359 0.00398622 8.8561  - - -  - - -  70.9699 69.9623 67.805 67.5219 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699446783.535545000  1000.54 0 49.9999  -  nan  0.0478693 -0.122484 -0.0121182  0.0478693 -0.122484 -0.0121182  0.105657 0.0873214 10.855  0.105657 0.0873214 10.855  - - -  - - -  71.6222 70.8406 67.4097 67.2113 - - - - - - - 66.6933 - - - - 138 146 134 70 0 0 0 0
1699446783.540545000  1000.55 0 49.9989  -  nan  -0.0668998 0.0452525 0.00927581  -0.0668998 0.0452525 0.00927581  -0.0377938 0.0896937 10.2813  -0.0377938 0.0896937 10.2813  - - -  - - -  70.1831 70.1727 68.8349 66.9924 - - - - - - 68.2221 - - - - - 138 146 134 70 0 0 0 0
