# logged on Tue Jan  2 11:20:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190825.230905000  1000.81 0 49.9889  -  nan  -0.127421 -0.0103761 0.0035145  -0.127421 -0.0103761 0.0035145  -0.403936 -0.00880619 10.6996  -0.403936 -0.00880619 10.6996  - - -  - - -  79.056 68.2267 73.7947 67.7509 - - - - - - 74.638 - - - - - 139 146 134 70 0 0 0 0
1704190825.235904000  1000.81 0 49.9872  -  nan  -0.09641 0.0302964 -0.06476  -0.09641 0.0302964 -0.06476  0.516938 0.0417301 10.5301  0.516938 0.0417301 10.5301  - - -  - - -  78.1127 67.2405 74.529 67.8351 - - - - - 66.3218 - 69.4155 - - - - 139 146 134 70 0 0 0 0
1704190825.240880000  1000.82 0 49.9872  -  nan  -0.199679 0.206879 0.0452684  -0.199679 0.206879 0.0452684  -0.291919 0.311643 8.50525  -0.291919 0.311643 8.50525  - - -  - - -  79.0597 67.2967 74.2249 67.1918 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.245888000  1000.83 0 49.9875  -  nan  -0.127357 -0.0251003 -0.00955752  -0.127357 -0.0251003 -0.00955752  -0.360513 -0.0599472 10.9326  -0.360513 -0.0599472 10.9326  - - -  - - -  79.4605 68.7676 73.1619 67.6075 - - - - 77.8089 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.250888000  1000.83 0 49.9878  -  nan  -0.140699 0.0304977 -0.0677994  -0.140699 0.0304977 -0.0677994  0.433104 0.198802 9.77445  0.433104 0.198802 9.77445  - - -  - - -  78.4755 66.9018 74.7363 67.7328 - - - - - - 73.4862 - - - - - 139 146 134 70 0 0 0 0
1704190825.255872000  1000.83 0 49.9864  -  nan  -0.257786 0.194044 0.068939  -0.257786 0.194044 0.068939  -0.252857 0.203682 9.31273  -0.252857 0.203682 9.31273  - - -  - - -  79.3851 68.0611 74.0063 67.0471 - - - - - 66.3218 - 68.2221 - - - - 139 146 134 70 0 0 0 0
1704190825.260888000  1000.84 0 49.9864  -  nan  -0.0685104 -0.0548542 -0.0326416  -0.0685104 -0.0548542 -0.0326416  -0.221946 -0.105387 10.538  -0.221946 -0.105387 10.538  - - -  - - -  79.2716 69.426 73.123 67.2967 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.265868000  1000.85 0 49.9878  -  nan  -0.199736 0.0318491 -0.0446945  -0.199736 0.0318491 -0.0446945  0.160893 0.296397 9.93527  0.160893 0.296397 9.93527  - - -  - - -  78.7796 67.6827 74.4489 67.8201 - - - - 79.3651 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.270873000  1000.85 0 49.989  -  nan  -0.243878 0.122057 0.0724389  -0.243878 0.122057 0.0724389  -0.0761776 0.0502604 9.72757  -0.0761776 0.0502604 9.72757  - - -  - - -  79.2592 68.5839 73.8694 67.1838 - - - - - - 74.173 - - - - - 139 146 134 70 0 0 0 0
1704190825.275868000  1000.85 0 49.9873  -  nan  -0.0683465 -0.0553965 -0.0462085  -0.0683465 -0.0553965 -0.0462085  -0.265895 -0.054462 10.42  -0.265895 -0.054462 10.42  - - -  - - -  79.0143 69.3433 73.367 67.77 - - - - - 68.4182 - 68.0272 - - - - 139 146 134 70 0 0 0 0
