# logged on Tue Nov 14 13:36:35 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965395.956538000  999.644 0 49.9954  -  nan  -0.00995837 -0.0249709 -0.0155594  -0.00995837 -0.0249709 -0.0155594  0.107651 -0.00171303 10.2329  0.107651 -0.00171303 10.2329  - - -  - - -  74.2933 72.6544 67.0563 65.4246 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.961545000  999.641 0 49.9953  -  nan  -0.0523788 -0.0111774 -0.00276275  -0.0523788 -0.0111774 -0.00276275  -0.0381879 0.0894581 10.3382  -0.0381879 0.0894581 10.3382  - - -  - - -  73.8906 72.7855 67.5891 64.9929 - - - - 74.8727 - 67.0691 - - - - - 138 145 0 71 0 0 0 0
1699965395.966538000  999.641 0 49.9958  -  nan  0.019184 -0.0248158 -0.0151544  0.019184 -0.0248158 -0.0151544  -0.0801732 0.0937356 9.3053  -0.0801732 0.0937356 9.3053  - - -  - - -  73.6799 73.0279 67.4858 64.586 - - - - - 71.7154 - - - - - - 138 145 0 71 0 0 0 0
1699965395.971559000  999.646 0 49.9962  -  nan  -0.00985722 -0.0672723 -0.000653254  -0.00985722 -0.0672723 -0.000653254  0.060896 -0.000287183 9.88833  0.060896 -0.000287183 9.88833  - - -  - - -  73.5277 73.0202 67.994 64.9738 - - - - - - - 65.591 - - - - 138 145 0 71 0 0 0 0
1699965395.976538000  999.654 0 49.9962  -  nan  -0.0665069 -0.0248999 0.011173  -0.0665069 -0.0248999 0.011173  -0.0338193 0.0920701 9.70769  -0.0338193 0.0920701 9.70769  - - -  - - -  73.0768 73.2299 68.4456 64.7392 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.981547000  999.654 0 49.9978  -  nan  0.00391428 -0.0383583 0.0125244  0.00391428 -0.0383583 0.0125244  -0.129899 0.0476727 9.367  -0.129899 0.0476727 9.367  - - -  - - -  72.8907 73.8321 68.1384 64.3012 - - - - 74.173 - 68.2221 - - - - - 138 145 0 71 0 0 0 0
1699965395.986536000  999.658 0 49.997  -  nan  -0.010077 -0.0522661 0.012703  -0.010077 -0.0522661 0.012703  0.0121339 -0.0461145 9.6628  0.0121339 -0.0461145 9.6628  - - -  - - -  72.7476 73.9438 68.2329 64.485 - - - - - 72.812 - - - - - - 138 145 0 71 0 0 0 0
1699965395.991551000  999.659 0 49.9983  -  nan  -0.0665069 -0.0248999 0.011173  -0.0665069 -0.0248999 0.011173  0.012543 0.0452963 9.94167  0.012543 0.0452963 9.94167  - - -  - - -  72.6043 73.6986 68.4692 64.7994 - - - - - - - 64.8761 - - - - 138 145 0 71 0 0 0 0
1699965395.996538000  999.662 0 49.9983  -  nan  0.0614084 -0.0520715 -6.27342e-05  0.0614084 -0.0520715 -6.27342e-05  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  72.6856 74.1021 68.1734 64.3643 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965396.001548000  999.659 0 49.9976  -  nan  0.0613902 -0.0245911 -0.014568  0.0613902 -0.0245911 -0.014568  -0.0334321 -0.0439778 9.14668  -0.0334321 -0.0439778 9.14668  - - -  - - -  72.6163 73.7458 68.4385 64.752 - - - - 72.812 - 68.6153 - - - - - 138 145 0 71 0 0 0 0
1699965396.006533000  999.661 0 49.9979  -  nan  0.0330385 -0.0107227 -0.00157595  0.0330385 -0.0107227 -0.00157595  0.0105441 -0.047065 9.89225  0.0105441 -0.047065 9.89225  - - -  - - -  72.8335 73.5056 68.57 65.0011 - - - - - 73.7137 - - - - - - 138 145 0 71 0 0 0 0
1699965396.011543000  999.66 0 49.9981  -  nan  0.118662 0.00318108 -0.0292601  0.118662 0.00318108 -0.0292601  -0.0350068 0.0462469 9.71187  -0.0350068 0.0462469 9.71187  - - -  - - -  72.9714 73.5223 68.2817 64.7171 - - - - - - - 64.3501 - - - - 138 145 0 71 0 0 0 0
1699965396.016537000  999.663 0 49.9981  -  nan  0.118432 0.0182005 -0.0149212  0.118432 0.0182005 -0.0149212  0.111586 -0.0914665 9.32358  0.111586 -0.0914665 9.32358  - - -  - - -  73.3161 72.6412 68.3666 65.435 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965396.021547000  999.66 0 49.9994  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  0.0560633 -0.141336 10.0737  0.0560633 -0.141336 10.0737  - - -  - - -  73.7453 72.4079 68.4343 66.002 - - - - 73.0353 - 68.0272 - - - - - 138 145 0 71 0 0 0 0
1699965396.026532000  999.661 0 50.0004  -  nan  0.203617 0.0601538 -0.0148566  0.203617 0.0601538 -0.0148566  0.0161236 0.0474371 9.4249  0.0161236 0.0474371 9.4249  - - -  - - -  73.6968 72.5926 68.1747 65.8991 - - - - - 74.4048 - - - - - - 138 145 0 71 0 0 0 0
1699965396.031546000  999.664 0 50.0014  -  nan  0.146123 0.073867 -0.00226946  0.146123 0.073867 -0.00226946  0.0640359 -0.0905159 9.09378  0.0640359 -0.0905159 9.09378  - - -  - - -  74.2416 71.6906 67.6488 66.9506 - - - - - - - 65.0533 - - - - 138 145 0 71 0 0 0 0
1699965396.036537000  999.673 0 50.0014  -  nan  0.104173 0.00367524 0.0127984  0.104173 0.00367524 0.0127984  0.0533477 -0.0048003 10.9777  0.0533477 -0.0048003 10.9777  - - -  - - -  74.5275 71.8168 67.5564 67.1881 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965396.041545000  999.674 0 50.0021  -  nan  0.189412 0.0602642 -0.00129499  0.189412 0.0602642 -0.00129499  -0.033417 0.0471974 9.48242  -0.033417 0.0471974 9.48242  - - -  - - -  73.8306 71.9111 67.4485 66.8006 - - - - 73.9426 - 68.6153 - - - - - 138 145 0 71 0 0 0 0
