# logged on Thu Dec 21 15:55:53 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170553.775866000  1000.73 0 50.0095  -  nan  0.00373287 -0.129273 -0.0794513  0.00373287 -0.129273 -0.0794513  0.364434 -0.40328 10.6266  0.364434 -0.40328 10.6266  - - -  - - -  73.4176 69.1763 69.0165 63.4914 - - - - - - 67.8334 - - - - - 139 146 134 71 0 0 0 0
1703170553.780869000  1000.73 0 50.0105  -  nan  -0.126141 0.07352 -0.0547278  -0.126141 0.07352 -0.0547278  0.175706 0.513151 8.14833  0.175706 0.513151 8.14833  - - -  - - -  74.3892 67.231 69.9114 63.773 - - - - 74.173 - - 64.8761 - - - - 139 146 134 71 0 0 0 0
1703170553.785878000  1000.72 0 50.0095  -  nan  -0.1716 -0.0216497 0.0688757  -0.1716 -0.0216497 0.0688757  -0.763434 0.239372 10.617  -0.763434 0.239372 10.617  - - -  - - -  74.8833 69.242 69.0805 63.3583 - - - - - 67.2585 - - - - - - 139 146 134 71 0 0 0 0
1703170553.790867000  1000.72 0 50.0095  -  nan  0.0628821 -0.116482 -0.10402  0.0628821 -0.116482 -0.10402  0.410127 -0.49661 10.065  0.410127 -0.49661 10.065  - - -  - - -  73.1923 69.518 69.5843 63.3442 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1703170553.795866000  1000.72 0 50.0095  -  nan  -0.0821167 0.0596792 -0.0376263  -0.0821167 0.0596792 -0.0376263  -0.0531456 0.608921 8.48023  -0.0531456 0.608921 8.48023  - - -  - - -  74.43 67.0156 70.8313 63.7408 - - - - - - 69.2137 - - - - - 139 146 134 71 0 0 0 0
1703170553.800871000  1000.72 0 50.0086  -  nan  -0.185692 -0.0226688 0.0407521  -0.185692 -0.0226688 0.0407521  -0.495804 0.0350141 11.1512  -0.495804 0.0350141 11.1512  - - -  - - -  74.4432 69.3379 69.7401 63.2154 - - - - 73.7137 - - 63.8325 - - - - 139 146 134 71 0 0 0 0
1703170553.805861000  1000.73 0 50.0086  -  nan  0.0638851 -0.0461865 -0.147232  0.0638851 -0.0461865 -0.147232  0.23012 -0.489289 9.37867  0.23012 -0.489289 9.37867  - - -  - - -  73.2849 69.0434 70.2046 63.0974 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1703170553.810877000  1000.73 0 50.0068  -  nan  -0.0671043 0.0721686 -0.0778327  -0.0671043 0.0721686 -0.0778327  -0.14931 0.597951 9.50611  -0.14931 0.597951 9.50611  - - -  - - -  74.7204 66.3787 71.4405 63.6536 - - - - - 68.4182 - - - - - - 139 146 134 71 0 0 0 0
1703170553.815882000  1000.73 0 50.0081  -  nan  -0.142086 0.0495992 0.0547776  -0.142086 0.0495992 0.0547776  -0.130645 -0.107222 10.7104  -0.130645 -0.107222 10.7104  - - -  - - -  74.482 68.0381 70.2322 63.5025 - - - - - - 70.8617 - - - - - 139 146 134 71 0 0 0 0
1703170553.820885000  1000.73 0 50.0075  -  nan  0.0783241 0.0272972 -0.108051  0.0783241 0.0272972 -0.108051  0.0114913 -0.188967 9.06535  0.0114913 -0.188967 9.06535  - - -  - - -  73.7354 68.0982 69.8734 64.1064 - - - - 73.4862 - - 63.3232 - - - - 139 146 134 71 0 0 0 0
1703170553.825880000  1000.73 0 50.0075  -  nan  -0.0241099 0.0583324 -0.0608019  -0.0241099 0.0583324 -0.0608019  -0.0206294 0.440264 10.3197  -0.0206294 0.440264 10.3197  - - -  - - -  74.6577 65.9843 70.9284 64.6513 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1703170553.830863000  1000.73 0 50.0091  -  nan  -0.0970279 0.133947 0.0412802  -0.0970279 0.133947 0.0412802  0.0994789 -0.198112 9.92182  0.0994789 -0.198112 9.92182  - - -  - - -  74.3568 66.9947 69.9439 64.4599 - - - - - 69.2137 71.5001 - - - - - 139 146 134 71 0 0 0 0
1703170553.835881000  1000.72 0 50.0091  -  nan  0.0782237 0.0856904 -0.068361  0.0782237 0.0856904 -0.068361  -0.221128 -0.242342 9.41066  -0.221128 -0.242342 9.41066  - - -  - - -  74.416 67.2326 69.1937 65.1005 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1703170553.840884000  1000.7 0 50.0065  -  nan  -0.0382904 0.115668 -0.0502044  -0.0382904 0.115668 -0.0502044  0.159302 0.384448 10.8964  0.159302 0.384448 10.8964  - - -  - - -  74.5589 65.2914 70.2408 65.7598 - - - - 74.4048 - - 64.3501 - - - - 139 146 134 71 0 0 0 0
1703170553.845869000  1000.7 0 50.0068  -  nan  -0.140433 0.234905 0.0211382  -0.140433 0.234905 0.0211382  0.14969 -0.188967 9.06636  0.14969 -0.188967 9.06636  - - -  - - -  74.7462 65.9116 69.604 65.0813 - - - - - 67.8334 - - - - - - 139 146 134 71 0 0 0 0
