# logged on Tue Jan  9 15:09:42 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704809382.761150000  1000.95 0 49.9957  -  nan  -0.418755 0.251435 0.0286921  -0.418755 0.251435 0.0286921  -0.45297 0.214969 12.9028  -0.45297 0.214969 12.9028  - - -  - - -  75.6197 62.0438 71.7449 65.3443 - - - - 74.173 59.9736 - - - - - - 139 146 134 70 0 0 0 0
1704809382.766143000  1000.94 0 49.9961  -  nan  -0.343874 0.259823 -0.103423  -0.343874 0.259823 -0.103423  0.527683 -0.0251789 7.68559  0.527683 -0.0251789 7.68559  - - -  - - -  73.8897 60.995 71.9709 64.7663 - - - - - - 71.5001 - - - - - 139 146 134 70 0 0 0 0
1704809382.771151000  1000.95 0 49.9961  -  nan  -0.460581 0.453217 0.0186876  -0.460581 0.453217 0.0186876  -0.0932949 0.619902 7.45235  -0.0932949 0.619902 7.45235  - - -  - - -  74.6501 59.5517 73.2345 65.002 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.776146000  1000.94 0 49.9975  -  nan  -0.492778 0.269242 0.10555  -0.492778 0.269242 0.10555  -0.457034 0.0209879 12.464  -0.457034 0.0209879 12.464  - - -  - - -  75.7116 62.2668 71.7968 65.2122 - - - - - - - 64.6998 - - - - 139 146 134 70 0 0 0 0
1704809382.781149000  1000.95 0 49.997  -  nan  -0.313758 0.31797 -0.0898216  -0.313758 0.31797 -0.0898216  0.526024 -0.0288393 8.0281  0.526024 -0.0288393 8.0281  - - -  - - -  73.209 62.4523 71.7274 65.4113 - - - - 74.8727 60.584 - - - - - - 139 146 134 70 0 0 0 0
1704809382.786146000  1000.94 0 49.9963  -  nan  -0.504624 0.511701 0.0271998  -0.504624 0.511701 0.0271998  -0.094122 0.618077 7.62311  -0.094122 0.618077 7.62311  - - -  - - -  74.8048 60.1349 72.9875 65.5493 - - - - - - 73.9426 - - - - - 139 146 134 70 0 0 0 0
1704809382.791154000  1000.95 0 49.9963  -  nan  -0.506951 0.32759 0.116112  -0.506951 0.32759 0.116112  -0.408203 0.0270886 11.8935  -0.408203 0.0270886 11.8935  - - -  - - -  75.4536 62.4213 71.6277 65.8152 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.796149000  1000.94 0 49.9967  -  nan  -0.342789 0.388943 -0.121516  -0.342789 0.388943 -0.121516  0.433648 0.0612415 8.70371  0.433648 0.0612415 8.70371  - - -  - - -  73.0057 62.752 71.4503 66.2985 - - - - - - - 65.9544 - - - - 139 146 134 70 0 0 0 0
1704809382.801151000  1000.95 0 49.9964  -  nan  -0.51888 0.511224 0.0126433  -0.51888 0.511224 0.0126433  0.0372336 0.512546 8.20391  0.0372336 0.512546 8.20391  - - -  - - -  74.698 59.9691 72.6519 66.3444 - - - - 73.0353 59.9736 - - - - - - 139 146 134 70 0 0 0 0
1704809382.806145000  1000.94 0 49.9968  -  nan  -0.506634 0.444737 0.153751  -0.506634 0.444737 0.153751  -0.309161 0.0423349 10.4675  -0.309161 0.0423349 10.4675  - - -  - - -  75.2804 61.2617 72.1266 66.1628 - - - - - - 72.3694 - - - - - 139 146 134 70 0 0 0 0
1704809382.811153000  1000.95 0 49.9968  -  nan  -0.356962 0.447291 -0.110954  -0.356962 0.447291 -0.110954  0.2917 0.00766022 9.16376  0.2917 0.00766022 9.16376  - - -  - - -  73.3995 62.7402 70.8742 67.0393 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
