# logged on Tue Dec  5 10:59:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701770382.649061000  1000.35 0 49.993  -  nan  -0.228885 -0.0115784 -0.0451534  -0.228885 -0.0115784 -0.0451534  0.244703 0.0950953 10.1821  0.244703 0.0950953 10.1821  - - -  - - -  70.1579 68.4359 72.1396 68.05 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.653973000  1000.35 0 49.993  -  nan  -0.214566 -0.0258258 -0.0436688  -0.214566 -0.0258258 -0.0436688  0.201236 0.0987557 9.83929  0.201236 0.0987557 9.83929  - - -  - - -  70.1332 68.3646 71.9443 67.4916 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.659052000  1000.34 0 49.9906  -  nan  -0.242969 0.0609905 -0.0341172  -0.242969 0.0609905 -0.0341172  0.161073 0.204287 9.25917  0.161073 0.204287 9.25917  - - -  - - -  69.7509 67.8406 72.3077 67.3645 - - - - 69.8227 68.0272 71.9321 68.6153 - - - - 139 146 0 70 0 0 0 0
1701770382.664052000  1000.34 0 49.9906  -  nan  -0.273003 0.0616686 -0.0226001  -0.273003 0.0616686 -0.0226001  0.245535 0.0969308 10.0104  0.245535 0.0969308 10.0104  - - -  - - -  70.24 68.048 72.0079 67.3463 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.669054000  1000.34 0 49.9906  -  nan  -0.229016 0.0189217 -0.0180757  -0.229016 0.0189217 -0.0180757  0.249406 0.105472 9.21118  0.249406 0.105472 9.21118  - - -  - - -  70.019 68.025 71.7163 67.14 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.674050000  1000.34 0 49.9935  -  nan  -0.272864 0.104757 -0.010518  -0.272864 0.104757 -0.010518  0.115839 0.206123 9.08708  0.115839 0.206123 9.08708  - - -  - - -  69.4301 67.4683 71.9786 67.5893 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.679048000  1000.34 0 49.993  -  nan  -0.273103 0.0474867 -0.0221051  -0.273103 0.0474867 -0.0221051  0.288813 0.0466 10.0728  0.288813 0.0466 10.0728  - - -  - - -  69.7727 67.7544 71.6359 67.8046 - - - - 69.2137 68.6153 71.9321 - - - - - 139 146 0 70 0 0 0 0
1701770382.684034000  1000.34 0 49.9887  -  nan  -0.22865 0.0467431 -0.0326326  -0.22865 0.0467431 -0.0326326  0.254751 0.209772 8.74656  0.254751 0.209772 8.74656  - - -  - - -  69.2495 67.3351 71.7524 67.6495 - - - - - - - 67.0691 - - - - 139 146 0 70 0 0 0 0
1701770382.688993000  1000.34 0 49.9887  -  nan  -0.257105 0.148245 -0.010978  -0.257105 0.148245 -0.010978  0.115924 0.160057 8.75002  0.115924 0.160057 8.75002  - - -  - - -  68.749 66.5797 72.2837 68.0441 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.694069000  1000.34 0 49.9908  -  nan  -0.273066 0.0763928 -0.00952805  -0.273066 0.0763928 -0.00952805  0.243134 0.0453799 10.1866  0.243134 0.0453799 10.1866  - - -  - - -  69.1451 66.7729 71.8688 68.408 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
