# logged on Fri Dec  1 17:29:21 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701448161.911022000  999.136 0 50.0014  -  nan  -0.445607 0.4368 -0.0340958  -0.445607 0.4368 -0.0340958  0.11565 0.159452 8.80661  0.11565 0.159452 8.80661  - - -  - - -  70.6965 64.2687 71.9569 71.0506 - - - - - - 71.286 72.3694 - - - - 139 0 0 70 0 0 0 0
1701448161.915999000  999.135 0 50.0013  -  nan  -0.518735 0.437132 -0.0391145  -0.518735 0.437132 -0.0391145  0.157292 0.149691 9.72032  0.157292 0.149691 9.72032  - - -  - - -  70.8602 64.0952 72.1713 71.5138 - - - - 71.7154 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.921016000  999.137 0 50.0013  -  nan  -0.518597 0.48022 -0.0270324  -0.518597 0.48022 -0.0270324  0.156002 0.100591 9.6672  0.156002 0.100591 9.6672  - - -  - - -  70.6961 64.3607 72.0807 71.1848 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.926021000  999.136 0 50.0012  -  nan  -0.489657 0.494271 -0.0255482  -0.489657 0.494271 -0.0255482  0.114822 0.157627 8.97737  0.114822 0.157627 8.97737  - - -  - - -  70.8716 64.4568 71.8324 71.4193 - - - - - 65.7722 - - - - - - 139 0 0 70 0 0 0 0
1701448161.931012000  999.139 0 50.002  -  nan  -0.562949 0.495146 -0.0169999  -0.562949 0.495146 -0.0169999  0.200409 0.0969308 10.0101  0.200409 0.0969308 10.0101  - - -  - - -  70.9446 64.5194 71.7808 71.7646 - - - - - - 71.286 72.1501 - - - - 139 0 0 70 0 0 0 0
1701448161.936010000  999.138 0 50.0028  -  nan  -0.547354 0.539176 -0.00389289  -0.547354 0.539176 -0.00389289  0.158214 0.105472 9.21051  0.158214 0.105472 9.21051  - - -  - - -  70.6985 64.7394 71.5835 71.5213 - - - - 71.5001 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.941014000  999.137 0 50.0028  -  nan  -0.532669 0.55275 -0.0169653  -0.532669 0.55275 -0.0169653  0.114269 0.156407 9.09154  0.114269 0.156407 9.09154  - - -  - - -  71.1788 65.1061 71.1942 71.8155 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.946019000  999.136 0 50.0015  -  nan  -0.576858 0.567134 -0.0204997  -0.576858 0.567134 -0.0204997  0.201699 0.146031 10.0632  0.201699 0.146031 10.0632  - - -  - - -  71.5795 65.2727 71.1449 71.7608 - - - - - 65.9544 - - - - - - 139 0 0 70 0 0 0 0
1701448161.951018000  999.136 0 50.0023  -  nan  -0.59117 0.582394 -0.0220196  -0.59117 0.582394 -0.0220196  0.208056 0.160057 8.75069  0.208056 0.160057 8.75069  - - -  - - -  71.339 65.2273 70.9402 71.5015 - - - - - - 71.7154 70.8617 - - - - 139 0 0 70 0 0 0 0
1701448161.956009000  999.135 0 50.002  -  nan  -0.590804 0.610215 -0.0365766  -0.590804 0.610215 -0.0365766  0.0665443 0.152747 9.43372  0.0665443 0.152747 9.43372  - - -  - - -  71.8911 65.5826 70.9041 71.5793 - - - - 71.9321 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.961004000  999.135 0 50.002  -  nan  -0.605123 0.624463 -0.0380612  -0.605123 0.624463 -0.0380612  0.199577 0.0950953 10.1818  0.199577 0.0950953 10.1818  - - -  - - -  72.2802 65.7311 70.8058 71.3174 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.966011000  999.136 0 50.0018  -  nan  -0.576283 0.624332 -0.036082  -0.576283 0.624332 -0.036082  0.162269 0.160672 8.69277  0.162269 0.160672 8.69277  - - -  - - -  72.3196 65.7093 70.6234 71.0764 - - - - - 66.1376 - - - - - - 139 0 0 70 0 0 0 0
