# logged on Tue Jan  2 13:17:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704197871.698987000  1001.24 0 50.0088  -  nan  -0.0397082 -0.0113163 -0.00404424  -0.0397082 -0.0113163 -0.00404424  -0.305721 0.00461521 9.44434  -0.305721 0.00461521 9.44434  - - -  - - -  79.802 70.0463 70.3995 63.6623 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.703985000  1001.25 0 50.0081  -  nan  -0.127174 0.0479067 0.0150662  -0.127174 0.0479067 0.0150662  -0.304827 0.0981509 9.89218  -0.304827 0.0981509 9.89218  - - -  - - -  79.7244 68.8302 71.2928 64.6575 - - - - - - 70.2346 63.4921 - - - - 139 0 134 71 0 0 0 0
1704197871.708983000  1001.24 0 50.0063  -  nan  -0.11187 0.00373557 0.0040798  -0.11187 0.00373557 0.0040798  0.293521 0.195746 10.0594  0.293521 0.195746 10.0594  - - -  - - -  79.8044 69.0619 71.2144 64.4313 - - - - - 69.0131 - - - - - - 139 0 134 71 0 0 0 0
1704197871.714068000  1001.25 0 50.0056  -  nan  -0.170686 0.107 0.0643855  -0.170686 0.107 0.0643855  -0.490309 -0.0434808 9.39078  -0.490309 -0.0434808 9.39078  - - -  - - -  80.0119 69.0089 71.1635 64.416 - - - - 79.8977 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.718986000  1001.24 0 50.0056  -  nan  -0.0678802 -0.0133933 -0.0612605  -0.0678802 -0.0133933 -0.0612605  -0.26986 -0.155718 10.5997  -0.26986 -0.155718 10.5997  - - -  - - -  80.2083 69.7655 70.4137 64.9403 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.723986000  1001.25 0 50.0056  -  nan  -0.081386 0.042747 -0.105935  -0.081386 0.042747 -0.105935  0.397527 0.49852 9.51907  0.397527 0.49852 9.51907  - - -  - - -  80.1534 67.7522 72.092 64.9628 - - - - - - 70.028 64.6998 - - - - 139 0 134 71 0 0 0 0
1704197871.728987000  1001.24 0 50.003  -  nan  -0.28826 0.181664 0.109054  -0.28826 0.181664 0.109054  -0.448222 -0.0501862 10.0186  -0.448222 -0.0501862 10.0186  - - -  - - -  81.2479 67.7348 71.844 64.3282 - - - - - 71.0732 - - - - - - 139 0 134 71 0 0 0 0
1704197871.733987000  1001.25 0 50.0037  -  nan  0.107537 -0.0888617 -0.115538  0.107537 -0.0888617 -0.115538  -0.309933 -0.0962412 9.68152  -0.309933 -0.0962412 9.68152  - - -  - - -  81.0316 69.6653 69.9801 64.7206 - - - - 79.3651 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.738986000  1001.24 0 50.0037  -  nan  -0.154943 0.102557 -0.0441299  -0.154943 0.102557 -0.0441299  0.259346 0.542739 10.0279  0.259346 0.542739 10.0279  - - -  - - -  80.7693 66.7092 72.6073 65.5332 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.743986000  1001.25 0 50.0021  -  nan  -0.302945 0.16809 0.122127  -0.302945 0.16809 0.122127  -0.26977 -0.201773 10.2616  -0.26977 -0.201773 10.2616  - - -  - - -  81.5911 68.1017 71.3501 64.4781 - - - - - - 71.5001 64.8761 - - - - 139 0 134 71 0 0 0 0
1704197871.748983000  1001.24 0 50.0009  -  nan  0.0490367 -0.0592182 -0.120592  0.0490367 -0.0592182 -0.120592  -0.351787 0.00461521 9.444  -0.351787 0.00461521 9.444  - - -  - - -  81.1407 70.2487 69.4698 64.8524 - - - - - 68.0272 - - - - - - 139 0 134 71 0 0 0 0
1704197871.753987000  1001.25 0 50.0008  -  nan  -0.214218 0.119214 0.00658307  -0.214218 0.119214 0.00658307  0.201709 0.284811 11.0197  0.201709 0.284811 11.0197  - - -  - - -  81.125 67.5742 71.9734 65.655 - - - - 81.5395 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.758987000  1001.24 0 50.0008  -  nan  -0.243878 0.122057 0.0724389  -0.243878 0.122057 0.0724389  0.0638692 0.100591 9.66653  0.0638692 0.100591 9.66653  - - -  - - -  81.5156 68.7964 70.4647 64.6845 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.764066000  1001.25 0 50.0016  -  nan  -0.126884 0.017916 -0.0246448  -0.126884 0.017916 -0.0246448  -0.63072 -0.0483613 9.84646  -0.63072 -0.0483613 9.84646  - - -  - - -  81.5253 69.9724 69.5263 65.0594 - - - - - - 70.6514 65.2316 - - - - 139 0 134 71 0 0 0 0
