# logged on Mon Jan  8 11:15:00 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708900.682811000  1000.23 0 49.9903  -  nan  0.0640608 -0.0467675 -0.161768  0.0640608 -0.0467675 -0.161768  0.521874 -0.0379956 8.88489  0.521874 -0.0379956 8.88489  - - -  - - -  75.807 68.6482 69.4926 62.5405 - - - - - 67.6407 69.8227 - - - - - 138 0 0 71 0 0 0 0
1704708900.687809000  1000.24 0 49.9891  -  nan  -0.1111 0.206477 0.0513474  -0.1111 0.206477 0.0513474  -0.018031 0.261928 8.51173  -0.018031 0.261928 8.51173  - - -  - - -  77.23 65.9686 71.6417 62.2703 - - - - 76.0688 - - 61.6827 - - - - 138 0 0 71 0 0 0 0
1704708900.692809000  1000.24 0 49.9891  -  nan  -0.0559432 -0.00524644 0.145172  -0.0559432 -0.00524644 0.145172  -0.686645 -0.116368 11.5622  -0.686645 -0.116368 11.5622  - - -  - - -  77.764 68.4718 69.3941 62.505 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.697825000  1000.24 0 49.9891  -  nan  0.123135 -0.019213 -0.172295  0.123135 -0.019213 -0.172295  0.476518 0.00888035 9.05094  0.476518 0.00888035 9.05094  - - -  - - -  75.2165 68.6227 69.1656 63.5759 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.702810000  1000.24 0 49.9921  -  nan  -0.0970086 0.207496 0.079471  -0.0970086 0.207496 0.079471  -0.0678735 0.207343 8.97156  -0.0678735 0.207343 8.97156  - - -  - - -  76.5392 65.7374 71.3954 63.1075 - - - - - 66.8807 70.8617 - - - - - 138 0 0 71 0 0 0 0
1704708900.707810000  1000.23 0 49.9925  -  nan  -0.0708033 -0.0182394 0.172781  -0.0708033 -0.0182394 0.172781  -0.544665 -0.0617721 11.102  -0.544665 -0.0617721 11.102  - - -  - - -  76.7836 68.8997 68.7414 63.2864 - - - - 75.8265 - - 62.4922 - - - - 138 0 0 71 0 0 0 0
1704708900.712808000  1000.21 0 49.9925  -  nan  0.0792188 0.0098227 -0.189927  0.0792188 0.0098227 -0.189927  0.247005 0.0539208 9.3874  0.247005 0.0539208 9.3874  - - -  - - -  74.6242 68.9514 68.7143 64.1914 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.717815000  1000.21 0 49.9925  -  nan  -0.0829921 0.150703 0.0824405  -0.0829921 0.150703 0.0824405  -0.0276205 0.0557563 9.21363  -0.0276205 0.0557563 9.21363  - - -  - - -  76.903 65.6926 71.1815 62.6618 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.722807000  1000.21 0 49.9929  -  nan  -0.0697703 0.00737398 0.102987  -0.0697703 0.00737398 0.102987  -0.352831 0.0938752 10.2919  -0.352831 0.0938752 10.2919  - - -  - - -  76.6604 67.8605 69.6843 62.9214 - - - - - 66.8807 70.4424 - - - - - 138 0 0 71 0 0 0 0
1704708900.727808000  1000.21 0 49.9933  -  nan  0.00596386 0.0396034 -0.168802  0.00596386 0.0396034 -0.168802  -0.0781106 0.0459952 10.1267  -0.0781106 0.0459952 10.1267  - - -  - - -  75.4458 68.2773 69.4345 63.4016 - - - - 76.3126 - - 62.822 - - - - 138 0 0 71 0 0 0 0
