# logged on Tue Nov 14 16:05:25 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699974326.187366000  1000.31 0 49.989  -  nan  0.0897113 0.0737527 0.0107058  0.0897113 0.0737527 0.0107058  0.0169185 0.0479124 9.31018  0.0169185 0.0479124 9.31018  - - -  - - -  79.1667 78.8864 63.3459 62.5973 - - - - 80.1667 - - 62.6566 - - - - 138 146 0 71 0 0 0 0
1699974326.192367000  1000.31 0 49.9901  -  nan  0.118611 -0.0379337 0.000359033  0.118611 -0.0379337 0.000359033  0.00375089 -0.143233 10.5313  0.00375089 -0.143233 10.5313  - - -  - - -  79.0916 78.1965 63.5832 63.6075 - - - - - - 64.5245 - - - - - 138 146 0 71 0 0 0 0
1699974326.197367000  1000.32 0 49.9901  -  nan  0.119004 -0.108086 0.0022562  0.119004 -0.108086 0.0022562  0.00458564 -0.0506276 10.7522  0.00458564 -0.0506276 10.7522  - - -  - - -  78.4757 77.4337 64.1692 64.163 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.202379000  1000.32 0 49.9911  -  nan  0.161982 -0.0663575 0.00173432  0.161982 -0.0663575 0.00173432  0.0173208 0.00303979 9.0849  0.0173208 0.00303979 9.0849  - - -  - - -  77.5092 77.0696 64.9502 64.1979 - - - - - 76.8049 - - - - - - 138 146 0 71 0 0 0 0
1699974326.207370000  1000.33 0 49.9907  -  nan  0.146963 -0.0518021 -0.012633  0.146963 -0.0518021 -0.012633  -0.0821543 0.0023248 9.25679  -0.0821543 0.0023248 9.25679  - - -  - - -  77.5689 76.733 65.1458 64.7137 - - - - 78.8395 - - 64.0041 - - - - 138 146 0 71 0 0 0 0
1699974326.212371000  1000.34 0 49.9906  -  nan  0.0907706 -0.0669226 -0.0130141  0.0907706 -0.0669226 -0.0130141  0.20589 -0.0938429 9.89791  0.20589 -0.0938429 9.89791  - - -  - - -  77.8122 76.4419 65.3951 65.1366 - - - - - - 63.6618 - - - - - 138 146 0 71 0 0 0 0
1699974326.217425000  1000.34 0 49.9906  -  nan  0.0326457 0.0594297 -0.00347312  0.0326457 0.0594297 -0.00347312  0.0668448 0.0934959 9.36421  0.0668448 0.0934959 9.36421  - - -  - - -  78.0775 76.8971 65.4614 64.3817 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.222377000  1000.33 0 49.9906  -  nan  0.0322583 0.128594 -0.00534357  0.0322583 0.128594 -0.00534357  -0.029835 0.00422593 8.79824  -0.029835 0.00422593 8.79824  - - -  - - -  78.7183 77.2653 64.659 64.2292 - - - - - 75.3466 - - - - - - 138 146 0 71 0 0 0 0
1699974326.227375000  1000.33 0 49.9904  -  nan  -0.0527535 0.0314945 0.00984537  -0.0527535 0.0314945 0.00984537  0.204317 -0.0487306 10.2957  0.204317 -0.0487306 10.2957  - - -  - - -  79.8104 77.8841 63.6723 64.1238 - - - - 77.5555 - - 65.7722 - - - - 138 146 0 71 0 0 0 0
1699974326.232409000  1000.32 0 49.9913  -  nan  -0.0247891 0.0867905 -0.00501716  -0.0247891 0.0867905 -0.00501716  0.0133366 0.0908839 9.99436  0.0133366 0.0908839 9.99436  - - -  - - -  79.5455 78.3676 63.4686 63.2741 - - - - - - 65.0533 - - - - - 138 146 0 71 0 0 0 0
1699974326.237439000  1000.31 0 49.9913  -  nan  0.0609974 0.0455613 -0.0164652  0.0609974 0.0455613 -0.0164652  -0.0357935 0.000663381 9.65818  -0.0357935 0.000663381 9.65818  - - -  - - -  79.5514 78.4254 63.2107 62.9789 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.242369000  1000.3 0 49.9922  -  nan  0.0760068 -0.122334 -0.0117272  0.0760068 -0.122334 -0.0117272  0.052513 -0.0974054 10.7568  0.052513 -0.0974054 10.7568  - - -  - - -  79.5613 77.898 63.5723 63.5765 - - - - - 77.0535 - - - - - - 138 146 0 71 0 0 0 0
