# logged on Mon Dec  4 14:28:01 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701696482.135170000  1001.13 0 50.0014  -  nan  -0.18404 0.162637 0.00711266  -0.18404 0.162637 0.00711266  0.249491 0.059406 8.87412  0.249491 0.059406 8.87412  - - -  - - -  73.3697 67.6277 72.6116 65.6544 - - - - - 67.4491 72.3694 - - - - - 139 146 134 71 0 0 0 0
1701696482.140168000  1001.12 0 50.0013  -  nan  -0.154405 0.321617 0.0307104  -0.154405 0.321617 0.0307104  -0.0229132 0.204902 9.20024  -0.0229132 0.204902 9.20024  - - -  - - -  72.8285 67.7288 73.1023 65.921 - - - - 73.2601 - - - - - - - 139 146 134 71 0 0 0 0
1701696482.145179000  1001.12 0 50.0013  -  nan  -0.199243 0.22099 0.0176041  -0.199243 0.22099 0.0176041  0.197181 0.043555 10.357  0.197181 0.043555 10.357  - - -  - - -  73.1568 67.7845 72.3283 66.4222 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.150181000  1001.11 0 50.0022  -  nan  -0.199552 0.177431 0.0191244  -0.199552 0.177431 0.0191244  0.116203 0.160672 8.69244  0.116203 0.160672 8.69244  - - -  - - -  72.2382 67.5072 72.7702 66.186 - - - - - - - 65.2316 - - - - 139 146 134 71 0 0 0 0
1701696482.155168000  1001.1 0 50.001  -  nan  -0.212968 0.365984 0.038728  -0.212968 0.365984 0.038728  0.022964 0.158232 8.92011  0.022964 0.158232 8.92011  - - -  - - -  71.7877 67.4162 73.2998 66.5506 - - - - - - 71.9321 - - - - - 139 146 134 71 0 0 0 0
1701696482.160179000  1001.09 0 50  -  nan  -0.272535 0.221864 0.0261524  -0.272535 0.221864 0.0261524  0.196075 0.0411147 10.5854  0.196075 0.0411147 10.5854  - - -  - - -  72.59 67.669 72.4247 66.7758 - - - - 73.0353 68.0272 - - - - - - 139 146 134 71 0 0 0 0
1701696482.165175000  1001.09 0 50  -  nan  -0.227918 0.220578 0.00205792  -0.227918 0.220578 0.00205792  0.11694 0.208552 8.85972  0.11694 0.208552 8.85972  - - -  - - -  71.4509 67.2237 73.1124 66.3795 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.170182000  1001.09 0 50  -  nan  -0.314369 0.422633 0.0161832  -0.314369 0.422633 0.0161832  0.0695833 0.159452 8.80627  0.0695833 0.159452 8.80627  - - -  - - -  71.2776 66.8851 73.7117 66.5571 - - - - - - - 66.6933 - - - - 139 146 134 71 0 0 0 0
1701696482.175173000  1001.08 0 49.999  -  nan  -0.315164 0.263522 -0.00543528  -0.315164 0.263522 -0.00543528  0.241664 0.0883899 10.8096  0.241664 0.0883899 10.8096  - - -  - - -  72.2087 67.2413 72.9587 66.4365 - - - - - 67.8334 72.812 - - - - - 139 146 134 71 0 0 0 0
1701696482.180151000  1001.08 0 50.0011  -  nan  -0.300435 0.307015 -0.00596597  -0.300435 0.307015 -0.00596597  0.119615 0.260708 8.62691  0.119615 0.260708 8.62691  - - -  - - -  71.2387 66.6433 73.6509 66.1162 - - - - 72.3694 - - - - - - - 139 146 134 71 0 0 0 0
