# logged on Wed Nov 29 16:02:23 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701270143.922424000  1000.72 0 50.004  -  nan  0.092338 0.0174612 0.00397818  0.092338 0.0174612 0.00397818  0.097078 -0.249663 10.098  0.097078 -0.249663 10.098  - - -  - - -  78.8003 81.4821 82.2675 76.2044 - - - - 78.5793 - - 75.5858 - - - - 139 0 133 70 0 0 0 0
1701270143.927432000  1000.72 0 50.004  -  nan  0.121379 0.0456939 0.00496742  0.121379 0.0456939 0.00496742  0.148584 -0.191407 9.29471  0.148584 -0.191407 9.29471  - - -  - - -  78.6261 81.2376 82.3655 76.6193 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.932432000  1000.72 0 50.0042  -  nan  0.107034 0.103572 0.0291319  0.107034 0.103572 0.0291319  0.0966148 -0.296938 9.87416  0.0966148 -0.296938 9.87416  - - -  - - -  79.1818 81.3504 82.0334 76.669 - - - - - 80.9848 83.2501 - - - - - 139 0 133 70 0 0 0 0
1701270143.937440000  1000.72 0 50.0042  -  nan  0.209091 0.0447537 -0.00259132  0.209091 0.0447537 -0.00259132  0.101138 -0.194452 9.5793  0.101138 -0.194452 9.5793  - - -  - - -  79.3546 81.2607 81.5412 76.7418 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.942423000  1000.72 0 50.0033  -  nan  0.209028 0.0594779 0.0104807  0.209028 0.0594779 0.0104807  0.188194 -0.298158 9.98901  0.188194 -0.298158 9.98901  - - -  - - -  79.3271 80.9979 81.7406 76.9226 - - - - 79.1014 - - 77.3036 - - - - 139 0 133 70 0 0 0 0
1701270143.947424000  1000.72 0 50.0033  -  nan  0.209431 0.116205 0.00850078  0.209431 0.116205 0.00850078  0.0932345 -0.395959 9.93959  0.0932345 -0.395959 9.93959  - - -  - - -  79.7304 81.0031 81.1487 77.051 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.952432000  1000.72 0 50.0038  -  nan  0.355524 0.0435079 -0.00709006  0.355524 0.0435079 -0.00709006  0.146462 -0.242342 9.41335  0.146462 -0.242342 9.41335  - - -  - - -  79.8903 80.8937 80.9619 77.2904 - - - - - 80.1667 82.1018 - - - - - 139 0 133 70 0 0 0 0
1701270143.957434000  1000.72 0 50.0038  -  nan  0.209066 0.0883839 0.0230577  0.209066 0.0883839 0.0230577  0.137453 -0.44629 10.002  0.137453 -0.44629 10.002  - - -  - - -  79.6392 79.8091 81.4398 78.4556 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.962427000  1000.72 0 50.0031  -  nan  0.312392 0.0868311 0.00299229  0.312392 0.0868311 0.00299229  0.0518436 -0.247828 9.92595  0.0518436 -0.247828 9.92595  - - -  - - -  79.8852 80.3521 80.7269 77.9796 - - - - 80.1667 - - 78.5793 - - - - 139 0 133 70 0 0 0 0
1701270143.967417000  1000.72 0 50.0031  -  nan  0.414031 0.0148774 -0.00207103  0.414031 0.0148774 -0.00207103  0.186072 -0.349094 10.1076  0.186072 -0.349094 10.1076  - - -  - - -  79.7286 79.4651 81.0476 78.8726 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.972433000  1000.72 0 50.0035  -  nan  0.238973 0.117154 0.0376846  0.238973 0.117154 0.0376846  -0.0471762 -0.40084 10.3953  -0.0471762 -0.40084 10.3953  - - -  - - -  79.5211 79.4448 81.0698 78.8074 - - - - - 80.1667 80.7103 - - - - - 139 0 133 70 0 0 0 0
1701270143.977423000  1000.72 0 50.0035  -  nan  0.442871 0.0147463 -9.18399e-05  0.442871 0.0147463 -9.18399e-05  0.0106643 -0.190792 9.23612  0.0106643 -0.190792 9.23612  - - -  - - -  79.6837 80.1622 80.4863 78.18 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
