# logged on Fri Jan  5 14:43:08 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704462189.054333000  1000.09 0 50.0068  -  nan  -0.0264567 -0.271902 -0.049276  -0.0264567 -0.271902 -0.049276  -0.132034 -0.249048 10.0388  -0.132034 -0.249048 10.0388  - - -  - - -  75.5095 68.0372 69.4954 63.4476 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.059313000  1000.09 0 50.0068  -  nan  -0.0251321 -0.0855122 -0.0557814  -0.0251321 -0.0855122 -0.0557814  0.400125 0.320184 7.71108  0.400125 0.320184 7.71108  - - -  - - -  75.7477 66.1896 71.7266 63.031 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.064329000  1000.09 0 50.0071  16.028  nan  -0.173383 -0.10388 0.168788  -0.173383 -0.10388 0.168788  -0.726962 0.0331892 11.3203  -0.726962 0.0331892 11.3203  - - -  - - -  76.5709 67.1233 71.1183 63.4654 - - - - 76.8049 - - - - - - - 139 146 133 71 0 0 0 0
1704462189.069330000  1000.09 0 50.0042  -  nan  0.00233789 -0.301952 -0.0598385  0.00233789 -0.301952 -0.0598385  -0.0392728 -0.199332 10.035  -0.0392728 -0.199332 10.035  - - -  - - -  74.2988 69.2739 69.0271 63.9485 - - - - - 66.8807 71.286 62.822 - - - - 139 146 133 71 0 0 0 0
1704462189.074334000  1000.09 0 50.0042  -  nan  -0.0531325 -0.0145434 -0.0874049  -0.0531325 -0.0145434 -0.0874049  0.397086 0.313479 8.33853  0.397086 0.313479 8.33853  - - -  - - -  74.7124 66.6192 71.6655 63.4547 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.079320000  1000.1 0 50.0042  -  nan  -0.203233 -0.0301951 0.204929  -0.203233 -0.0301951 0.204929  -0.589351 -0.0587271 10.8168  -0.589351 -0.0587271 10.8168  - - -  - - -  76.8174 67.1843 70.9089 63.0752 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.084325000  1000.09 0 50.0057  -  nan  0.0190111 -0.202389 -0.103984  0.0190111 -0.202389 -0.103984  0.151911 -0.0453057 9.56625  0.151911 -0.0453057 9.56625  - - -  - - -  74.9948 69.4643 68.9905 64.0406 - - - - 76.0688 - - - - - - - 139 146 133 71 0 0 0 0
1704462189.089327000  1000.1 0 50.0025  -  nan  -0.0817256 0.0438704 -0.0778323  -0.0817256 0.0438704 -0.0778323  0.254198 0.208552 8.86073  0.254198 0.208552 8.86073  - - -  - - -  76.4391 66.1853 71.753 62.9825 - - - - - 69.4155 70.6514 64.0041 - - - - 139 146 133 71 0 0 0 0
1704462189.094333000  1000.1 0 50.0025  -  nan  -0.172532 -0.0330812 0.138175  -0.172532 -0.0330812 0.138175  -0.264632 -0.00636593 10.4722  -0.264632 -0.00636593 10.4722  - - -  - - -  77.93 67.3381 70.5302 62.6331 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.099339000  1000.1 0 50.0025  -  nan  -0.0245278 -0.072996 -0.0979465  -0.0245278 -0.072996 -0.0979465  -0.0325973 0.0447751 10.2412  -0.0325973 0.0447751 10.2412  - - -  - - -  76.2442 69.1055 69.095 63.6389 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.104343000  1000.1 0 50.0029  -  nan  -0.111825 0.0336546 0.0166215  -0.111825 0.0336546 0.0166215  0.198531 -0.0440856 9.45241  0.198531 -0.0440856 9.45241  - - -  - - -  78.0445 66.5389 70.8394 62.1664 - - - - 76.558 - - 63.1552 - - - - 139 146 133 71 0 0 0 0
1704462189.109342000  1000.1 0 49.9996  -  nan  -0.15781 0.00939885 0.137679  -0.15781 0.00939885 0.137679  -0.0274363 0.102416 9.49509  -0.0274363 0.102416 9.49509  - - -  - - -  77.2541 68.8036 68.862 63.2235 - - - - - 67.8334 70.4424 - - - - - 139 146 133 71 0 0 0 0
