# logged on Thu Dec 21 16:55:50 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174150.346123000  1000.07 0 50.0008  -  nan  -0.110711 -9.94412e-05 -0.0918582  -0.110711 -9.94412e-05 -0.0918582  0.280115 -0.155718 10.6037  0.280115 -0.155718 10.6037  - - -  - - -  76.7285 67.9205 68.3713 64.5635 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.351141000  1000.07 0 49.9997  -  nan  -0.198997 0.16108 -0.0346486  -0.198997 0.16108 -0.0346486  0.0303464 0.359534 8.6739  0.0303464 0.359534 8.6739  - - -  - - -  76.8397 66.5605 68.9806 64.7681 - - - - - 67.2585 - 64.6998 - - - - 139 146 0 70 0 0 0 0
1703174150.356176000  1000.07 0 49.9997  -  nan  -0.214622 0.0624864 0.00856299  -0.214622 0.0624864 0.00856299  -0.449881 -0.0538466 10.3611  -0.449881 -0.0538466 10.3611  - - -  - - -  77.4487 68.6187 67.631 65.1839 - - - - 77.0535 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.361136000  1000.06 0 49.9998  -  nan  -0.0387128 -0.014609 -0.0864153  -0.0387128 -0.014609 -0.0864153  0.373443 -0.199332 10.038  0.373443 -0.199332 10.038  - - -  - - -  76.228 68.052 68.3844 65.2691 - - - - - - 66.6933 - - - - - 139 146 0 70 0 0 0 0
1703174150.366146000  1000.06 0 49.9998  -  nan  -0.213644 0.176412 -0.00899919  -0.213644 0.176412 -0.00899919  -0.105928 0.407015 8.78269  -0.105928 0.407015 8.78269  - - -  - - -  77.1121 65.9745 69.3817 65.7336 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.371144000  1000.06 0 49.9987  -  nan  -0.200567 0.0345995 0.0241095  -0.200567 0.0345995 0.0241095  -0.403936 -0.00880619 10.6996  -0.403936 -0.00880619 10.6996  - - -  - - -  77.3073 67.9922 68.3585 65.7263 - - - - - 66.6933 - 65.2316 - - - - 139 146 0 70 0 0 0 0
1703174150.376179000  1000.05 0 49.9998  -  nan  -0.0234799 0.0272183 -0.128616  -0.0234799 0.0272183 -0.128616  0.192628 -0.149617 10.0322  0.192628 -0.149617 10.0322  - - -  - - -  76.2351 67.7022 68.8972 66.0585 - - - - 77.0535 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.381129000  1000.04 0 50.0009  -  nan  -0.199698 0.13333 0.00707769  -0.199698 0.13333 0.00707769  -0.063288 0.401529 9.2963  -0.063288 0.401529 9.2963  - - -  - - -  77.0731 65.5757 69.7628 66.4173 - - - - - - 67.8334 - - - - - 139 146 0 70 0 0 0 0
1703174150.386144000  1000.03 0 50.0009  -  nan  -0.184815 0.0770749 0.0236849  -0.184815 0.0770749 0.0236849  -0.265063 -0.0526265 10.2483  -0.265063 -0.0526265 10.2483  - - -  - - -  76.8564 67.3015 68.7082 66.2133 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.391144000  1000.02 0 50.0015  -  nan  -0.0524198 0.0857426 -0.0909051  -0.0524198 0.0857426 -0.0909051  0.00808364 -0.150232 10.0884  0.00808364 -0.150232 10.0884  - - -  - - -  76.4139 66.9438 69.036 66.5118 - - - - - 66.1376 - 65.9544 - - - - 139 146 0 70 0 0 0 0
