# logged on Thu Dec 21 17:06:54 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174814.643425000  1000.65 0 50.0053  -  nan  0.00582706 0.259858 -0.0386892  0.00582706 0.259858 -0.0386892  -0.166628 0.0981509 9.89319  -0.166628 0.0981509 9.89319  - - -  - - -  78.8718 68.7815 72.0696 65.6985 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.648429000  1000.65 0 50.0053  -  nan  -0.0959617 0.189518 -0.015003  -0.0959617 0.189518 -0.015003  -0.124522 0.135665 11.0308  -0.124522 0.135665 11.0308  - - -  - - -  79.2949 68.1049 72.0282 65.8489 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.653479000  1000.65 0 50.0056  -  nan  -0.0666187 0.187721 -0.0546939  -0.0666187 0.187721 -0.0546939  0.377498 -0.144132 9.52026  0.377498 -0.144132 9.52026  - - -  - - -  78.772 68.1196 72.0445 65.5282 - - - - 77.8089 - 72.3694 65.591 - - - - 138 146 134 70 0 0 0 0
1703174814.658401000  1000.65 0 50.0051  -  nan  -0.0953874 0.246716 -0.0305853  -0.0953874 0.246716 -0.0305853  -0.209835 0.196966 9.94151  -0.209835 0.196966 9.94151  - - -  - - -  79.4057 67.9006 72.2702 65.7836 - - - - - 68.8137 - - - - - - 138 146 134 70 0 0 0 0
1703174814.663398000  1000.65 0 50.0051  -  nan  -0.125932 0.175472 -0.0165579  -0.125932 0.175472 -0.0165579  -0.124985 0.0883899 10.8069  -0.124985 0.0883899 10.8069  - - -  - - -  79.1717 68.2316 72.1431 65.3075 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.668400000  1000.66 0 50.0051  -  nan  -0.139848 0.173872 -0.0592176  -0.139848 0.173872 -0.0592176  0.202711 0.0557563 9.21532  0.202711 0.0557563 9.21532  - - -  - - -  78.4923 68.2256 72.3363 64.782 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.673412000  1000.66 0 50.0031  -  nan  -0.183037 0.232932 -0.0360986  -0.183037 0.232932 -0.0360986  -0.0272472 0.149086 9.77556  -0.0272472 0.149086 9.77556  - - -  - - -  78.9154 68.2817 72.5995 64.6055 - - - - 79.6305 - 71.9321 - - - - - 138 146 134 70 0 0 0 0
1703174814.678399000  1000.67 0 50.0035  -  nan  -0.199098 0.146898 -0.0341536  -0.199098 0.146898 -0.0341536  -0.215823 0.137501 10.8584  -0.215823 0.137501 10.8584  - - -  - - -  78.7129 68.8999 72.3304 64.1471 - - - - - 67.2585 - 66.6933 - - - - 138 146 134 70 0 0 0 0
1703174814.683399000  1000.68 0 50.0035  -  nan  -0.198759 0.145775 -0.0622567  -0.198759 0.145775 -0.0622567  0.157935 0.104856 9.2681  0.157935 0.104856 9.2681  - - -  - - -  77.9486 68.9756 72.7712 63.5808 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.688400000  1000.7 0 50.0035  -  nan  -0.286508 0.190384 -0.0280798  -0.286508 0.190384 -0.0280798  0.0192822 0.196362 9.99978  0.0192822 0.196362 9.99978  - - -  - - -  78.5105 69.239 73.2143 63.0786 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
