# logged on Fri Jan  5 16:00:36 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704466836.411548000  1000.91 0 50.004  -  nan  0.0472582 -0.1425 -0.0216135  0.0472582 -0.1425 -0.0216135  -0.177727 -0.155718 10.6004  -0.177727 -0.155718 10.6004  - - -  - - -  75.6124 69.4554 68.6486 64.7057 - - - - 77.0535 - - - - - - - 138 146 0 70 0 0 0 0
1704466836.416545000  1000.91 0 50.004  -  nan  0.0339239 -0.0133144 -0.0406956  0.0339239 -0.0133144 -0.0406956  0.344654 0.160672 8.69411  0.344654 0.160672 8.69411  - - -  - - -  75.7835 67.4036 70.442 64.3644 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.421546000  1000.91 0 50.0036  -  nan  -0.113193 0.00811291 0.113585  -0.113193 0.00811291 0.113585  -0.299845 0.247902 9.8222  -0.299845 0.247902 9.8222  - - -  - - -  76.6751 67.8595 69.7498 64.3118 - - - - - 69.0131 - - - - - - 138 146 0 70 0 0 0 0
1704466836.426560000  1000.91 0 50.0011  -  nan  0.00360653 -0.0998251 -0.0533073  0.00360653 -0.0998251 -0.0533073  -0.132951 -0.204818 10.5476  -0.132951 -0.204818 10.5476  - - -  - - -  75.7811 69.8244 68.5468 64.0812 - - - - - - 68.8137 64.3501 - - - - 138 146 0 70 0 0 0 0
1704466836.431547000  1000.91 0 50.001  -  nan  -0.00987336 -0.01474 -0.0844361  -0.00987336 -0.01474 -0.0844361  0.252908 0.159452 8.80761  0.252908 0.159452 8.80761  - - -  - - -  76.3192 67.9998 70.024 63.7307 - - - - 76.3126 - - - - - - - 138 146 0 70 0 0 0 0
1704466836.436545000  1000.91 0 50.001  -  nan  -0.128303 0.00705974 0.0844215  -0.128303 0.00705974 0.0844215  -0.16358 0.243637 10.2223  -0.16358 0.243637 10.2223  - - -  - - -  77.1933 68.4397 69.5554 63.3967 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.441553000  1000.91 0 49.9999  -  nan  -0.039973 -0.0249558 0.0100177  -0.039973 -0.0249558 0.0100177  -0.173582 -0.146572 9.74458  -0.173582 -0.146572 9.74458  - - -  - - -  76.3912 70.0295 68.524 63.4079 - - - - - 70.2346 - - - - - - 138 146 0 70 0 0 0 0
1704466836.446562000  1000.9 0 49.9962  -  nan  0.0043824 -0.0142633 -0.0698795  0.0043824 -0.0142633 -0.0698795  0.0203882 0.198802 9.77143  0.0203882 0.198802 9.77143  - - -  - - -  76.6469 69.1452 69.1784 63.4415 - - - - - - 70.028 64.1766 - - - - 138 146 0 70 0 0 0 0
1704466836.451558000  1000.89 0 49.9976  -  nan  -0.127812 0.00543276 0.0437205  -0.127812 0.00543276 0.0437205  0.156739 0.148471 9.83449  0.156739 0.148471 9.83449  - - -  - - -  77.0994 68.7416 69.652 62.9187 - - - - 76.3126 - - - - - - - 138 146 0 70 0 0 0 0
1704466836.456547000  1000.89 0 49.9976  -  nan  -0.0542471 0.0192106 0.0210748  -0.0542471 0.0192106 0.0210748  -0.258828 0.0064401 9.27391  -0.258828 0.0064401 9.27391  - - -  - - -  76.7874 70.2064 68.4601 63.0945 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.461547000  1000.89 0 49.9976  -  nan  0.00391609 -0.0562665 -0.0548276  0.00391609 -0.0562665 -0.0548276  -0.216754 0.0429396 10.4116  -0.216754 0.0429396 10.4116  - - -  - - -  76.8939 69.5577 69.0595 63.3869 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.466566000  1000.89 0 49.9948  -  nan  -0.0687116 -0.0106429 0.00754357  -0.0687116 -0.0106429 0.00754357  0.386202 0.0581965 8.98831  0.386202 0.0581965 8.98831  - - -  - - -  76.8267 68.5275 69.7683 63.3423 - - - - - 68.2221 68.6153 64.0041 - - - - 138 146 0 70 0 0 0 0
1704466836.471555000  1000.89 0 49.9953  -  nan  -0.0687932 0.0487245 0.0462293  -0.0687932 0.0487245 0.0462293  -0.480869 0.206727 9.02612  -0.480869 0.206727 9.02612  - - -  - - -  77.2232 69.5181 68.8596 63.5446 - - - - 77.0535 - - - - - - - 138 146 0 70 0 0 0 0
1704466836.476553000  1000.89 0 49.9953  -  nan  0.00286828 -0.156481 -0.024158  0.00286828 -0.156481 -0.024158  -0.321177 -0.167304 11.6835  -0.321177 -0.167304 11.6835  - - -  - - -  76.8288 69.6362 68.7761 63.9811 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.481556000  1000.89 0 49.9948  -  nan  0.0340879 -0.0138567 -0.0542626  0.0340879 -0.0138567 -0.0542626  0.620012 0.0679469 8.0776  0.620012 0.0679469 8.0776  - - -  - - -  76.0211 67.8776 70.3647 63.9418 - - - - - 69.2137 - - - - - - 138 146 0 70 0 0 0 0
1704466836.486596000  1000.89 0 49.9939  -  nan  -0.112518 0.0794929 0.0975076  -0.112518 0.0794929 0.0975076  -0.622196 0.246077 9.99061  -0.622196 0.246077 9.99061  - - -  - - -  77.4161 68.4458 69.5914 64.191 - - - - - - 68.0272 62.822 - - - - 138 146 0 70 0 0 0 0
1704466836.491557000  1000.89 0 49.9955  -  nan  0.0180415 -0.170152 -0.00806669  0.0180415 -0.170152 -0.00806669  -0.326437 -0.31767 11.8111  -0.326437 -0.31767 11.8111  - - -  - - -  76.1776 70.005 68.5501 64.2645 - - - - 76.8049 - - - - - - - 138 146 0 70 0 0 0 0
