# logged on Tue Jan  9 13:17:35 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704802656.119077000  1001.12 0 99.9812  -  nan  0.00476845 0.277875 0.0567539  0.00476845 0.277875 0.0567539  -0.161004 0.203067 9.37099  -0.161004 0.203067 9.37099  - - -  - - -  76.4663 66.9941 71.0144 63.6706 - - - - 75.1089 - 71.286 62.6566 - - - - 139 146 134 70 0 0 0 0
1704802656.124067000  1001.13 0 99.9801  -  nan  0.106448 -0.0261629 0.00648807  0.106448 -0.0261629 0.00648807  -0.368623 -0.170349 11.9681  -0.368623 -0.170349 11.9681  - - -  - - -  75.9571 68.6221 69.46 63.5643 - - - - - 65.9544 - - - - - - 139 146 134 70 0 0 0 0
1704802656.129066000  1001.13 0 99.98  -  nan  0.167406 0.097804 -0.104447  0.167406 0.097804 -0.104447  0.752277 -0.12827 8.03871  0.752277 -0.12827 8.03871  - - -  - - -  74.0765 67.159 71.3412 63.3603 - - - - 75.8265 67.8334 70.8617 63.1552 - - - - 139 146 134 70 0 0 0 0
1704802656.134092000  1001.14 0 99.98  -  nan  -0.0247945 0.295951 0.123048  -0.0247945 0.295951 0.123048  -0.622475 0.245462 10.0482  -0.622475 0.245462 10.0482  - - -  - - -  77.0681 66.6619 71.1322 63.2695 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.139082000  1001.14 0 99.9806  -  nan  0.0755318 -0.00804898 0.0989122  0.0755318 -0.00804898 0.0989122  -0.648784 -0.180725 12.937  -0.648784 -0.180725 12.937  - - -  - - -  76.2978 69.0071 69.4085 63.6317 - - - - 75.3466 - 70.6514 63.4921 - - - - 139 146 134 70 0 0 0 0
1704802656.144086000  1001.14 0 99.9795  -  nan  0.139227 0.239576 -0.166755  0.139227 0.239576 -0.166755  0.803415 -0.0245742 7.63101  0.803415 -0.0245742 7.63101  - - -  - - -  74.3483 67.5016 71.4835 63.8888 - - - - - 66.3218 - - - - - - 139 146 134 70 0 0 0 0
1704802656.149073000  1001.14 0 99.9811  -  nan  -0.00974451 0.337347 0.0954191  -0.00974451 0.337347 0.0954191  -0.571612 0.348553 9.69708  -0.571612 0.348553 9.69708  - - -  - - -  77.9454 66.2663 71.7619 63.1133 - - - - 75.8265 67.8334 70.4424 63.6618 - - - - 139 146 134 70 0 0 0 0
1704802656.154080000  1001.13 0 99.9811  -  nan  0.120111 -0.038241 0.0622406  0.120111 -0.038241 0.0622406  -0.371667 -0.177065 12.5965  -0.371667 -0.177065 12.5965  - - -  - - -  76.1286 69.506 69.4548 63.7465 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.159101000  1001.13 0 99.9796  -  nan  0.16885 0.181158 -0.176256  0.16885 0.181158 -0.176256  0.708333 -0.0773346 7.91974  0.708333 -0.0773346 7.91974  - - -  - - -  73.428 68.4954 70.7152 63.9675 - - - - 77.8089 - 72.1501 63.3232 - - - - 139 146 134 70 0 0 0 0
1704802656.164076000  1001.13 0 99.9786  -  nan  -0.0254061 0.282422 0.165249  -0.0254061 0.282422 0.165249  -0.484829 0.244241 10.1634  -0.484829 0.244241 10.1634  - - -  - - -  76.9156 66.6339 71.7809 63.3398 - - - - - 68.8137 - - - - - - 139 146 134 70 0 0 0 0
1704802656.169086000  1001.13 0 99.9805  -  nan  0.0749091 0.0240781 0.166691  0.0749091 0.0240781 0.166691  -0.457587 0.0197678 12.5782  -0.457587 0.0197678 12.5782  - - -  - - -  76.0438 69.1985 69.6618 63.9783 - - - - 76.8049 67.2585 70.6514 63.1552 - - - - 139 146 134 70 0 0 0 0
1704802656.174072000  1001.13 0 99.9805  -  nan  0.138685 0.212336 -0.137662  0.138685 0.212336 -0.137662  0.382475 -0.133151 8.49271  0.382475 -0.133151 8.49271  - - -  - - -  74.6057 67.9482 70.8278 63.9428 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.179088000  1001.13 0 99.9812  -  nan  0.0638684 0.261799 0.020577  0.0638684 0.261799 0.020577  -0.159066 0.207343 8.97089  -0.159066 0.207343 8.97089  - - -  - - -  77.7442 66.3566 71.562 63.1225 - - - - 76.0688 - 69.8227 64.3501 - - - - 139 146 134 70 0 0 0 0
1704802656.184082000  1001.12 0 99.9801  -  nan  0.0768372 0.104792 0.054216  0.0768372 0.104792 0.054216  -0.223839 0.119814 12.5134  -0.223839 0.119814 12.5134  - - -  - - -  77.5738 67.4489 70.3878 64.1001 - - - - - 67.8334 - - - - - - 139 146 134 70 0 0 0 0
