# logged on Wed Dec 13 17:14:49 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.03099  1           0.00671748  2           0.00392137
#  3          -0.00506866  4              1.01317  5            0.0334224
#  6            0.0540395  7           -0.0299119  8             0.969332
# }
# gbias {
#  0           -0.0513409  1            0.0755376  2            0.0383217
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940117  1            0.0306385  2            0.0112014
#  3         -3.77057e-05  4              1.01508  5           -0.0160543
#  6          -0.00828666  7           -0.0860739  8             0.992674
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702484090.216145000  1000.33 0 50.0781  -  nan  0.266414 0.515877 -0.102788  0.266414 0.515877 -0.102788  -1.07574 1.70399 11.066  -1.07574 1.70399 11.066  - - -  - - -  69.8384 71.2138 72.396 71.2822 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.221150000  1000.32 0 50.076  -  nan  0.294408 0.546889 0.128206  0.294408 0.546889 0.128206  0.963244 -2.13199 7.74168  0.963244 -2.13199 7.74168  - - -  - - -  70.0318 70.3757 74.0546 69.9688 - - - - 69.2137 71.7154 72.812 71.5001 - - - - 0 0 0 0 0 0 0 0
1702484090.226156000  1000.31 0 50.076  -  nan  0.304254 0.56281 0.0905244  0.304254 0.56281 0.0905244  2.23472 1.28471 11.4331  2.23472 1.28471 11.4331  - - -  - - -  69.666 70.5639 73.2374 71.7138 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.231145000  1000.31 0 50.076  -  nan  0.270755 0.584749 -0.0942841  0.270755 0.584749 -0.0942841  -1.6878 -0.585917 14.1048  -1.6878 -0.585917 14.1048  - - -  - - -  70.5559 71.184 72.7363 71.3606 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.236145000  1000.31 0 50.0781  -  nan  0.292617 0.608402 0.125758  0.292617 0.608402 0.125758  1.18326 -2.00311 7.72647  1.18326 -2.00311 7.72647  - - -  - - -  70.2979 70.0954 74.1502 70.2466 - - - - 70.8617 70.4424 73.9426 69.8227 - - - - 0 0 0 0 0 0 0 0
1702484090.241157000  1000.3 0 50.0781  -  nan  0.304669 0.610032 -0.0281599  0.304669 0.610032 -0.0281599  0.335669 2.32672 6.32081  0.335669 2.32672 6.32081  - - -  - - -  69.9455 70.4527 72.5487 72.0694 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.246143000  1000.3 0 50.0781  -  nan  0.255758 0.638464 -0.0904717  0.255758 0.638464 -0.0904717  -1.54423 -0.720037 13.8394  -1.54423 -0.720037 13.8394  - - -  - - -  70.9913 70.9176 73.052 71.0845 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.251145000  1000.3 0 50.0781  -  nan  0.248156 0.677112 0.151352  0.248156 0.677112 0.151352  2.37324 -0.328692 13.3159  2.37324 -0.328692 13.3159  - - -  - - -  70.6854 69.7871 74.0341 70.9492 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.256143000  1000.3 0 50.0829  -  nan  0.299495 0.654002 -0.0230264  0.299495 0.654002 -0.0230264  0.101674 2.22434 6.7993  0.101674 2.22434 6.7993  - - -  - - -  70.5346 70.4733 72.1001 72.1543 - - - - 70.4424 71.0732 73.9426 71.7154 - - - - 0 0 0 0 0 0 0 0
1702484090.261144000  1000.3 0 50.0829  -  nan  0.286924 0.646931 0.00443067  0.286924 0.646931 0.00443067  -0.327533 -2.00286 9.07897  -0.327533 -2.00286 9.07897  - - -  - - -  71.5321 70.5681 73.1626 70.9304 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.266144000  1000.3 0 50.0829  -  nan  0.226489 0.724062 0.145716  0.226489 0.724062 0.145716  2.3202 -0.111999 12.8279  2.3202 -0.111999 12.8279  - - -  - - -  71.0479 69.7066 73.4868 71.7426 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.271151000  1000.3 0 50.0829  -  nan  0.230002 0.739963 -0.112935  0.230002 0.739963 -0.112935  -1.31225 0.892036 10.5336  -1.31225 0.892036 10.5336  - - -  - - -  70.934 70.4856 71.6766 72.1914 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.276145000  1000.3 0 50.0827  -  nan  0.265129 0.67548 -0.00221173  0.265129 0.67548 -0.00221173  -0.110281 -1.93227 9.36552  -0.110281 -1.93227 9.36552  - - -  - - -  71.7323 69.935 73.2211 70.8415 - - - - 71.286 71.5001 72.59 72.812 - - - - 0 0 0 0 0 0 0 0
1702484090.281144000  1000.31 0 50.0827  -  nan  0.22992 0.700161 0.0799529  0.22992 0.700161 0.0799529  1.44002 1.52669 11.1917  1.44002 1.52669 11.1917  - - -  - - -  71.4817 69.5534 72.8238 72.3879 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.286147000  1000.32 0 50.0827  -  nan  0.210418 0.76607 -0.111638  0.210418 0.76607 -0.111638  -1.2792 0.689703 10.434  -1.2792 0.689703 10.434  - - -  - - -  71.5075 70.3459 71.7322 72.1897 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.291148000  1000.32 0 50.0827  -  nan  0.234814 0.759904 0.10581  0.234814 0.759904 0.10581  1.42203 -1.33205 9.01396  1.42203 -1.33205 9.01396  - - -  - - -  71.899 69.3862 73.1072 70.978 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.296144000  1000.33 0 50.0859  -  nan  0.19481 0.708772 0.0721766  0.19481 0.708772 0.0721766  1.22227 1.47895 10.9935  1.22227 1.47895 10.9935  - - -  - - -  71.6663 69.5724 71.886 72.7489 - - - - 71.0732 69.2137 73.9426 71.7154 - - - - 0 0 0 0 0 0 0 0
1702484090.301143000  1000.34 0 50.0859  -  nan  0.14985 0.737998 -0.107248  0.14985 0.737998 -0.107248  -0.950851 -0.910651 11.9578  -0.950851 -0.910651 11.9578  - - -  - - -  71.9787 70.068 71.6595 72.2999 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.306144000  1000.34 0 50.0859  -  nan  0.204723 0.774244 0.10846  0.204723 0.774244 0.10846  1.33569 -1.08906 9.45245  1.33569 -1.08906 9.45245  - - -  - - -  72.143 68.9615 72.7921 71.5891 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.311144000  1000.34 0 50.0859  -  nan  0.209453 0.742772 -0.0355514  0.209453 0.742772 -0.0355514  -0.166909 1.36293 9.02574  -0.166909 1.36293 9.02574  - - -  - - -  71.8761 69.5994 71.053 72.9509 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
