# logged on Tue Dec 19 14:00:12 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702990812.506769000  1000.47 0 50.0559  -  nan  0.0578935 0.369268 -0.111265  0.0578935 0.369268 -0.111265  1.17635 1.46 10.249  1.17635 1.46 10.249  - - -  - - -  73.1845 69.1399 67.9665 69.2518 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.511769000  1000.48 0 50.0559  -  nan  0.0669627 0.347434 -0.101594  0.0669627 0.347434 -0.101594  -1.28464 0.605575 9.31262  -1.28464 0.605575 9.31262  - - -  - - -  73.1018 70.1734 68.3312 67.5847 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.516769000  1000.48 0 50.0559  -  nan  0.0394767 0.393579 -0.0740704  0.0394767 0.393579 -0.0740704  1.31053 -1.22987 9.34485  1.31053 -1.22987 9.34485  - - -  - - -  72.5982 69.4357 68.9965 68.2849 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.521783000  1000.48 0 50.0555  -  nan  0.0609436 0.395455 -0.0773228  0.0609436 0.395455 -0.0773228  1.08855 1.46048 9.74948  1.08855 1.46048 9.74948  - - -  - - -  72.753 68.7471 68.5572 68.8348 - - - - 72.3694 69.8227 69.0131 69.0131 - - - - 0 0 0 0 0 0 0 0
1702990812.526775000  1000.49 0 50.0555  -  nan  0.0705425 0.369107 -0.11298  0.0705425 0.369107 -0.11298  -1.11431 -0.920278 9.43465  -1.11431 -0.920278 9.43465  - - -  - - -  72.8055 69.8486 68.7167 67.4081 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.531782000  1000.49 0 50.0555  -  nan  -0.00845974 0.42912 -0.0858526  -0.00845974 0.42912 -0.0858526  1.23139 -1.1221 10.1636  1.23139 -1.1221 10.1636  - - -  - - -  72.9012 68.6575 69.0244 68.5456 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.536794000  1000.5 0 50.0555  -  nan  -0.0181783 0.452947 -0.0863266  -0.0181783 0.452947 -0.0863266  -0.257952 1.48258 10.3981  -0.257952 1.48258 10.3981  - - -  - - -  73.8585 68.6405 67.836 68.7141 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.541777000  1000.5 0 50.0587  -  nan  0.0308697 0.395108 -0.132136  0.0308697 0.395108 -0.132136  -1.00269 -0.873563 8.47153  -1.00269 -0.873563 8.47153  - - -  - - -  73.3156 69.2647 68.6837 67.6816 - - - - 72.59 69.2137 67.4582 69.0131 - - - - 0 0 0 0 0 0 0 0
1702990812.546770000  1000.5 0 50.0587  -  nan  -0.0018182 0.415799 -0.0528529  -0.0018182 0.415799 -0.0528529  1.53781 0.271755 8.76706  1.53781 0.271755 8.76706  - - -  - - -  73.3279 68.1067 68.7916 68.4155 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.551784000  1000.49 0 50.0587  -  nan  -0.0370223 0.46471 -0.0657885  -0.0370223 0.46471 -0.0657885  -0.232595 1.3582 10.9059  -0.232595 1.3582 10.9059  - - -  - - -  74.208 68.7363 67.7125 68.3846 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.556803000  1000.49 0 50.0587  -  nan  -0.0031513 0.449804 -0.148816  -0.0031513 0.449804 -0.148816  0.0565782 -1.30266 9.78647  0.0565782 -1.30266 9.78647  - - -  - - -  73.5543 69.049 68.5506 67.4612 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.561775000  1000.49 0 50.0642  -  nan  -0.0583536 0.448735 -0.0366794  -0.0583536 0.448735 -0.0366794  1.35614 0.298206 8.78948  1.35614 0.298206 8.78948  - - -  - - -  73.7657 67.6516 68.4761 68.1135 - - - - 74.173 69.4155 68.6153 66.507 - - - - 0 0 0 0 0 0 0 0
