# logged on Tue Nov 14 15:16:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699971368.673945000  1000.26 0 50.0041  -  nan  -0.0241366 0.0447228 -0.0461489  -0.0241366 0.0447228 -0.0461489  0.16751 0.0498094 8.85332  0.16751 0.0498094 8.85332  - - -  - - -  80.1918 77.7506 65.8103 62.4719 - - - - 80.1667 - 65.9544 - - - - - 138 146 134 71 0 0 0 0
1699971368.678948000  1000.26 0 50.0041  -  nan  -0.0111133 0.157018 -0.00671885  -0.0111133 0.157018 -0.00671885  0.00578966 0.0412585 10.9163  0.00578966 0.0412585 10.9163  - - -  - - -  80.703 78.2077 65.9787 61.9287 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699971368.683972000  1000.26 0 50.0047  -  nan  0.0465001 0.0735227 0.0101054  0.0465001 0.0735227 0.0101054  0.0129453 0.000423674 9.71639  0.0129453 0.000423674 9.71639  - - -  - - -  80.8373 78.4832 64.5305 61.5231 - - - - - - - 62.3286 - - - - 139 146 134 71 0 0 0 0
1699971368.688940000  1000.26 0 50.0052  -  nan  0.075108 -0.0103128 0.0127676  0.075108 -0.0103128 0.0127676  0.0668311 -0.0427916 8.86106  0.0668311 -0.0427916 8.86106  - - -  - - -  80.3897 78.3222 64.6087 62.2136 - - - - - 77.3036 - - - - - - 139 146 134 71 0 0 0 0
1699971368.693949000  1000.25 0 50.0057  -  nan  0.103739 0.0326996 0.0395377  0.103739 0.0326996 0.0395377  -0.0936772 -0.00456472 10.9198  -0.0936772 -0.00456472 10.9198  - - -  - - -  79.7643 78.4084 65.2236 63.0326 - - - - - - 65.9544 - - - - - 139 146 134 71 0 0 0 0
1699971368.698947000  1000.24 0 50.0041  -  nan  0.175695 -0.0510911 0.0290432  0.175695 -0.0510911 0.0290432  0.00656948 -0.0494414 10.4659  0.00656948 -0.0494414 10.4659  - - -  - - -  79.2866 78 64.6054 63.6321 - - - - 80.4376 - - - - - - - 139 146 134 71 0 0 0 0
1699971368.703942000  1000.24 0 50.0037  -  nan  0.146927 -0.0939182 0.0160302  0.146927 -0.0939182 0.0160302  -0.0314482 -0.0427916 8.86036  -0.0314482 -0.0427916 8.86036  - - -  - - -  78.3994 77.2434 65.3043 64.5286 - - - - - - - 61.3648 - - - - 139 146 134 71 0 0 0 0
1699971368.708957000  1000.24 0 50.0053  -  nan  0.118593 -0.0104533 -0.0141463  0.118593 -0.0104533 -0.0141463  0.0569214 -0.0026636 10.462  0.0569214 -0.0026636 10.462  - - -  - - -  78.397 77.3013 65.9393 64.6054 - - - - - 77.8089 - - - - - - 139 146 134 71 0 0 0 0
1699971368.713950000  1000.23 0 50.0061  -  nan  0.0903638 0.0316851 -0.030426  0.0903638 0.0316851 -0.030426  0.0612804 0.0901689 10.1673  0.0612804 0.0901689 10.1673  - - -  - - -  78.8638 77.0848 65.6421 63.9535 - - - - 80.4376 - 64.5245 - - - - - 139 146 134 71 0 0 0 0
1699971368.718952000  1000.23 0 50.0061  -  nan  0.019152 0.03112 -0.0451744  0.019152 0.03112 -0.0451744  -0.0278526 0.0505244 8.67934  -0.0278526 0.0505244 8.67934  - - -  - - -  79.4965 77.1465 65.5813 63.1357 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699971368.723957000  1000.23 0 50.0045  -  nan  -0.0243425 0.0312737 -0.0172779  -0.0243425 0.0312737 -0.0172779  0.10606 0.0424487 10.6297  0.10606 0.0424487 10.6297  - - -  - - -  80.0702 77.684 65.8914 62.4845 - - - - - - - 64.3501 - - - - 139 146 134 71 0 0 0 0
1699971368.728969000  1000.22 0 50.0051  -  nan  0.0606282 0.0872452 -0.00383035  0.0606282 0.0872452 -0.00383035  -0.0385888 0.0892184 10.396  -0.0385888 0.0892184 10.396  - - -  - - -  79.9905 78.0744 65.3232 61.6805 - - - - - 77.3036 - - - - - - 139 146 134 71 0 0 0 0
1699971368.733945000  1000.22 0 50.004  -  nan  0.032527 0.0321345 0.0247893  0.032527 0.0321345 0.0247893  -0.0350384 -0.0909912 9.20781  -0.0350384 -0.0909912 9.20781  - - -  - - -  80.0528 78.0061 64.4605 62.0168 - - - - 80.1667 - 65.7722 - - - - - 139 146 134 71 0 0 0 0
