# logged on Thu Dec 21 15:46:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170018.346921000  1000.51 0 49.9988  -  nan  -0.00800001 0.272478 -0.0808747  -0.00800001 0.272478 -0.0808747  0.117961 0.257058 8.96844  0.117961 0.257058 8.96844  - - -  - - -  80.0673 66.0141 71.3121 66.2794 - - - - 78.8395 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.351936000  1000.51 0 49.9988  -  nan  -0.183308 0.336472 0.0418032  -0.183308 0.336472 0.0418032  -0.0355144 -0.00697069 10.5305  -0.0355144 -0.00697069 10.5305  - - -  - - -  80.8175 66.8049 70.7824 66.1132 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.356930000  1000.5 0 49.9991  -  nan  -0.0372426 0.215882 -0.080874  -0.0372426 0.215882 -0.080874  -0.0370515 -0.0556715 10.5349  -0.0370515 -0.0556715 10.5349  - - -  - - -  80.4102 67.5749 69.6723 66.0139 - - - - - - 70.028 66.1376 - - - - 138 0 0 71 0 0 0 0
1703170018.361925000  1000.5 0 49.9992  -  nan  -0.080117 0.317449 -0.060209  -0.080117 0.317449 -0.060209  -0.111799 0.302498 9.36239  -0.111799 0.302498 9.36239  - - -  - - -  80.6655 66.1156 70.6877 65.7808 - - - - - 67.2585 - - - - - - 138 0 0 71 0 0 0 0
1703170018.366920000  1000.5 0 49.9993  -  nan  -0.212685 0.334981 -0.00094767  -0.212685 0.334981 -0.00094767  0.0587034 0.0429396 10.4136  0.0587034 0.0429396 10.4136  - - -  - - -  80.8616 67.2175 70.0879 65.3861 - - - - 81.5395 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.371929000  1000.5 0 49.9993  -  nan  -0.139091 0.304077 -0.0501761  -0.139091 0.304077 -0.0501761  -0.169029 0.0466 10.0694  -0.169029 0.0466 10.0694  - - -  - - -  80.8865 67.4853 69.2107 65.3386 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.376931000  1000.51 0 49.9993  -  nan  -0.153951 0.291084 -0.0225677  -0.153951 0.291084 -0.0225677  -0.0262311 0.197582 9.88527  -0.0262311 0.197582 9.88527  - - -  - - -  80.7954 67.1233 69.702 65.1491 - - - - - - 69.8227 - - - - - 138 0 0 71 0 0 0 0
1703170018.381927000  1000.51 0 49.9985  -  nan  -0.212476 0.364357 -0.00197298  -0.212476 0.364357 -0.00197298  0.153048 0.0478201 9.95759  0.153048 0.0478201 9.95759  - - -  - - -  80.7597 67.8778 69.5931 64.812 - - - - - 67.0691 - 66.1376 - - - - 138 0 0 71 0 0 0 0
1703170018.386923000  1000.51 0 49.9996  -  nan  -0.227023 0.275679 -0.040623  -0.227023 0.275679 -0.040623  -0.396775 0.144811 10.173  -0.396775 0.144811 10.173  - - -  - - -  81.2107 68.1876 68.9268 64.7969 - - - - 81.2612 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.391927000  1000.52 0 49.9996  -  nan  -0.182596 0.24599 -0.0646966  -0.182596 0.24599 -0.0646966  0.0612934 0.141161 10.5179  0.0612934 0.141161 10.5179  - - -  - - -  80.5439 67.9708 69.7136 64.4445 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
