# logged on Thu Dec 21 15:23:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703168622.252536000  1000.93 0 50.0001  -  nan  0.0202545 0.115943 -0.0326084  0.0202545 0.115943 -0.0326084  0.24415 0.0938752 10.2963  0.24415 0.0938752 10.2963  - - -  - - -  80.5104 66.5041 72.9087 64.2452 - - - - 79.6305 67.8334 - - - - - - 138 145 0 71 0 0 0 0
1703168622.257597000  1000.93 0 50.0001  -  nan  -0.0540966 0.134835 0.071383  -0.0540966 0.134835 0.071383  -0.257844 0.0539208 9.38371  -0.257844 0.0539208 9.38371  - - -  - - -  80.9556 67.0049 72.119 63.7709 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.262598000  1000.92 0 50.0001  -  nan  0.0771199 0.00121322 -0.0246548  0.0771199 0.00121322 -0.0246548  -0.173582 -0.146572 9.74458  -0.173582 -0.146572 9.74458  - - -  - - -  80.6222 68.5031 71.0856 64.1915 - - - - - - 72.1501 - - - - - 138 145 0 71 0 0 0 0
1703168622.267593000  1000.92 0 50.0001  -  nan  0.0195494 0.0892452 0.0100516  0.0195494 0.0892452 0.0100516  0.245998 0.144206 10.2343  0.245998 0.144206 10.2343  - - -  - - -  80.3431 67.9212 71.7369 64.7142 - - - - - - - 63.3232 - - - - 138 145 0 71 0 0 0 0
1703168622.272535000  1000.91 0 50.0011  -  nan  -0.0684532 0.120176 0.0573214  -0.0684532 0.120176 0.0573214  -0.300403 0.107912 8.97881  -0.300403 0.107912 8.97881  - - -  - - -  80.4676 67.1979 71.7587 64.3799 - - - - 81.5395 67.6407 - - - - - - 138 145 0 71 0 0 0 0
1703168622.277599000  1000.92 0 50.0011  -  nan  0.0770447 -0.0565989 -0.0498089  0.0770447 -0.0565989 -0.0498089  -0.0841387 -0.104177 10.4258  -0.0841387 -0.104177 10.4258  - - -  - - -  80.314 68.4973 71.2707 64.6738 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.282593000  1000.91 0 50.002  -  nan  0.00440166 0.059286 -0.0316888  0.00440166 0.059286 -0.0316888  0.154527 0.143591 10.2912  0.154527 0.143591 10.2912  - - -  - - -  79.8622 67.0389 72.6958 64.7419 - - - - - - 71.5001 - - - - - 138 145 0 71 0 0 0 0
1703168622.287591000  1000.91 0 50.0008  -  nan  -0.0257611 0.0637944 0.0758371  -0.0257611 0.0637944 0.0758371  -0.395921 0.00888035 9.04456  -0.395921 0.00888035 9.04456  - - -  - - -  80.1254 66.4612 72.6919 64.4515 - - - - - - - 63.3232 - - - - 138 145 0 71 0 0 0 0
1703168622.292543000  1000.91 0 50.0015  -  nan  0.062461 -0.055991 -0.0372315  0.062461 -0.055991 -0.0372315  -0.172287 -0.0974614 9.7967  -0.172287 -0.0974614 9.7967  - - -  - - -  79.8708 68.2515 71.9255 64.6877 - - - - 79.8977 67.0691 - - - - - - 138 145 0 71 0 0 0 0
1703168622.297598000  1000.91 0 50.0015  -  nan  -0.01066 0.0179294 -0.00309036  -0.01066 0.0179294 -0.00309036  -0.073219 0.241801 10.3947  -0.073219 0.241801 10.3947  - - -  - - -  79.6862 67.0877 72.9734 64.7636 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.302591000  1000.9 0 50.0014  -  nan  -0.0402001 -0.00968931 0.0366567  -0.0402001 -0.00968931 0.0366567  -0.078609 -0.0919761 9.28409  -0.078609 -0.0919761 9.28409  - - -  - - -  79.6799 67.1219 72.8572 64.1266 - - - - - - 71.9321 - - - - - 138 145 0 71 0 0 0 0
1703168622.307595000  1000.9 0 50.0012  -  nan  0.0191387 -0.0410702 -0.0271283  0.0191387 -0.0410702 -0.0271283  -0.20836 0.153967 9.31753  -0.20836 0.153967 9.31753  - - -  - - -  79.3891 67.8296 72.5916 64.1744 - - - - - - - 64.3501 - - - - 138 145 0 71 0 0 0 0
1703168622.312536000  1000.89 0 50.002  -  nan  -0.0402377 -0.0385954 0.0240797  -0.0402377 -0.0385954 0.0240797  -0.308509 0.13628 10.9719  -0.308509 0.13628 10.9719  - - -  - - -  79.4313 67.3836 73.4195 64.5176 - - - - 80.1667 67.0691 - - - - - - 138 145 0 71 0 0 0 0
1703168622.317591000  1000.89 0 50.002  -  nan  0.033118 -0.0541942 0.00245936  0.033118 -0.0541942 0.00245936  0.11137 -0.0331151 8.42518  0.11137 -0.0331151 8.42518  - - -  - - -  78.8759 67.6539 73.3765 63.7525 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.322525000  1000.88 0 50.0008  -  nan  -0.0543103 0.0339348 0.0341469  -0.0543103 0.0339348 0.0341469  -0.295975 0.256443 9.02299  -0.295975 0.256443 9.02299  - - -  - - -  79.2015 67.5207 73.6604 64.3149 - - - - - - 73.7137 - - - - - 138 145 0 71 0 0 0 0
1703168622.327596000  1000.87 0 50.0017  -  nan  -0.0115183 -0.126458 -0.0116369  -0.0115183 -0.126458 -0.0116369  -0.132947 -0.0660479 11.5052  -0.132947 -0.0660479 11.5052  - - -  - - -  79.3892 68.0843 73.5006 64.4436 - - - - - - - 64.0041 - - - - 138 145 0 71 0 0 0 0
1703168622.332542000  1000.86 0 50.0025  -  nan  0.0338863 -0.0422204 -0.0532727  0.0338863 -0.0422204 -0.0532727  0.20575 0.0624617 8.58787  0.20575 0.0624617 8.58787  - - -  - - -  78.2691 67.5532 73.7485 63.7109 - - - - 79.8977 67.6407 - - - - - - 138 145 0 71 0 0 0 0
1703168622.337598000  1000.86 0 50.0025  -  nan  -0.0977966 0.0493979 0.0578171  -0.0977966 0.0493979 0.0578171  -0.486583 0.147866 9.88638  -0.486583 0.147866 9.88638  - - -  - - -  79.2044 67.6281 73.7038 63.8301 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
